Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
1998-01-01,610.3592529454197,29.58300018310547,0.0,0.7087503024373654,1637203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-01,626.0277882472619,29.58300018310547,0.0,0.7269447149012623,1639686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-01,612.8047722250268,29.58300018310547,0.0,0.7115899656152457,1642169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-01,584.5491933855916,29.58300018310547,0.0,0.6787795384023693,1644652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-01,607.0540666065623,29.58300018310547,0.0,0.7049122362652281,1647135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-01,608.7372955435743,29.58300018310547,0.0,0.7068668046297552,1649618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-01,636.9471357985983,29.58300018310547,0.0,0.7353672994889504,1652101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-01,636.9232387113619,29.58300018310547,0.0,0.7353397908423476,1654584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-01,596.4454062509241,29.58300018310547,0.0,0.6886073762495991,1657067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-01,594.3906480672472,29.58300018310547,0.0,0.6862351194984189,1659550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-01,568.6367238195631,29.58300018310547,0.0,0.6565016600022237,1662033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-01,593.1670227261258,29.58300018310547,0.0,0.6848224211578308,1664516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-01,605.3395320935813,29.736000061035156,0.0,0.6988757339043989,1667000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-01,633.7418410282461,29.736000061035156,0.0,0.7316667271386583,1669328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-01,604.2529084931349,29.736000061035156,0.0,0.6976212067737928,1671656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-01,597.9322383009635,29.736000061035156,0.0,0.6903239516581297,1673984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-05-01,633.9899732269411,29.736000061035156,0.0,0.7319532003710747,1676312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-01,720.0561168565029,29.736000061035156,0.0,0.8313181618586976,1678640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-07-01,749.3450202502368,29.736000061035156,22.565893173217773,0.9551517333579617,1680968.0,0.05090385234132557,4153328.8013183572,0.0,45421.19999999953,0.0,4074556.3250998487,109549.1896000405,0.0,10506.358618467082,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-08-01,743.6446115240576,29.736000061035156,21.5008602142334,0.9512103681002709,1683296.0,0.04441097595658768,4127158.799999995,0.0,45421.19999999953,0.0,4063421.03794719,94664.35405280508,0.0,10356.479999999769,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-09-01,684.7665908885967,29.736000061035156,14.808856964111328,0.8878851057419949,1685624.0,0.018302130006199218,3803574.000000001,0.0,43955.99999999962,0.0,3798005.772519518,35497.18748048295,0.0,10022.39999999981,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-01,682.6633695744903,29.736000061035156,13.521501541137695,0.8860830686250588,1687952.0,0.016107839295561536,3795649.8499999964,0.0,45360.14999999955,0.0,3795382.0692620147,31152.804737981933,0.0,10342.55999999977,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-01,646.9999053411269,29.736000061035156,14.251221656799316,0.8379447312642161,1690280.0,0.020272729488700632,3601414.000439453,0.0,43955.99999999962,0.0,3594014.0305141583,37288.173993101824,0.0,10063.155932192218,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-01,671.5299703179945,29.736000061035156,17.88168716430664,0.8610131694487955,1692608.0,0.038137500106465355,3739987.20679314,0.0,45421.19999999953,0.0,3692487.997231675,73505.76081038985,0.0,15276.520751075082,0.0,0.0,28.0,3381.5996521674087,14.0,3.0,584.4537439731798,0.0,0.0,0.0,0.0
2000-01-01,653.8672346300323,31.395000457763672,17.030858993530273,0.8423073019933013,1694945.0,0.030260678990922434,3648808.8023437504,0.0,45421.19999999953,0.0,3622214.407469527,56690.08303054172,0.0,11187.383843680862,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,689.5511572348905,31.395000457763672,26.427873611450195,0.8673278827102108,1697365.0,0.07104611493823727,3848917.1237966116,0.0,42490.79999999969,0.0,3719464.2484821775,143183.50814635595,0.0,24889.01516807681,0.0,0.0,28.0,9992.0955393248,45.0,9.0,603.2566291642183,0.0,0.0,0.0,0.0
2000-03-01,720.0787158375912,31.395000457763672,22.14798927307129,0.921717410210765,1699785.0,0.04152398530107802,4035120.6566473637,0.0,45482.24999999954,0.0,3973951.58161184,86429.87267757338,0.0,16077.762357949734,0.0,0.0,33.0,7230.122921606784,19.0,3.0,973.8979324304437,0.0,0.0,0.0,0.0
2000-04-01,643.2251109590208,31.395000457763672,14.866732597351074,0.8297938209840947,1702205.0,0.016732346297637018,3605714.000000009,0.0,43955.99999999962,0.0,3604885.3690238516,30757.590976156902,0.0,10022.39999999981,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,746.8862653076189,31.395000457763672,25.517982482910156,0.9428985662509418,1704625.0,0.05699377939300211,4202618.34048855,0.0,45421.19999999953,0.0,4104489.319983744,124485.43823676494,0.0,14926.654268041117,0.0,0.0,50.0,1009.7386197521269,7.0,2.0,283.27867862115454,0.0,0.0,0.0,0.0
2000-06-01,732.8137219581206,31.395000457763672,26.556922912597656,0.9168026501469787,1707045.0,0.0737763292537146,4125761.403390368,0.0,43955.99999999962,0.0,3993268.6559761385,159551.04335791824,0.0,12893.06405631035,0.0,0.0,57.0,102.60364088344068,2.0,1.0,72.8634119106905,0.0,0.0,0.0,0.0
2000-07-01,742.8938293559681,31.395000457763672,24.513324737548828,0.9363298969138957,1709465.0,0.060830857430079044,4187732.5035001137,0.0,45421.19999999953,0.0,4085055.4951255154,132662.3025786701,0.0,11297.777795927883,0.0,0.0,59.0,16.298697156334583,2.0,1.0,9.063666671601823,0.0,0.0,0.0,0.0
2000-08-01,738.7943699489159,31.395000457763672,24.348405838012695,0.9359219675996748,1711885.0,0.051626692491204454,4173493.276425575,0.0,45360.14999999955,0.0,4092355.091346833,111678.853820714,0.0,10686.915258027684,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-01,669.4899682378573,31.395000457763672,18.138927459716797,0.8587694962032022,1714305.0,0.027951697426083014,3781744.000439449,0.0,43955.99999999962,0.0,3757450.9297961975,54168.486760817956,0.0,10075.943882433816,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-01,684.9396379734669,31.395000457763672,15.80386734008789,0.8826573741165228,1716725.0,0.01901527883607367,3874088.8000000035,0.0,45421.19999999953,0.0,3867432.119853787,37583.27214621607,0.0,10356.479999999769,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-11-01,657.7246247407868,31.395000457763672,17.281896591186523,0.845288383399968,1719145.0,0.024129830572962446,3725124.0011718785,0.0,43955.99999999962,0.0,3708707.1781164426,45980.06081839764,0.0,10388.122237038326,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-01,659.8513561788257,16.237964630126953,18.970979690551758,0.8406797164259538,1721565.0,0.0397908046503445,3740903.750391149,0.0,45421.19999999953,0.0,3692025.893784036,76775.6101531951,0.0,13385.318453918075,0.0,0.0,60.0,265.0550287747137,7.0,3.0,116.91369603965859,0.0,0.0,0.0,0.0
2001-01-01,699.9860208249105,16.237964630126953,22.4980525970459,0.8868139931114606,1723993.0,0.049734576985060244,3973961.5332723577,0.0,45421.19999999953,0.0,3896128.9339531437,102394.52003720222,0.0,16721.151282011822,0.0,0.0,60.0,3187.273417095875,14.0,3.0,429.8113637422598,0.0,0.0,0.0,0.0
2001-02-01,676.68630745626,16.237964630126953,31.69793128967285,0.8373191463605714,1726509.0,0.0870366955212513,3824616.4668679726,0.0,41025.599999999744,0.0,3650816.8049878674,175710.32170749805,0.0,35377.27617260611,0.0,0.0,60.0,28707.949489452687,72.0,9.0,1153.3655763985835,0.0,0.0,0.0,0.0
2001-03-01,708.1216292419138,16.237964630126953,23.643709182739258,0.8986660857229746,1729025.0,0.04683396543591762,4039603.095255251,0.0,45482.24999999954,0.0,3967121.1354157114,97854.80447947556,0.0,15965.71536006405,0.0,0.0,60.0,1277.2519463764165,11.0,3.0,265.9602332043637,0.0,0.0,0.0,0.0
2001-04-01,665.5129737037702,16.237964630126953,20.081979751586914,0.8513790505551264,1731541.0,0.02799161634603263,3795373.8288288373,0.0,55519.199999999444,0.0,3771893.3245149236,54455.53883263494,0.0,10041.925481278311,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,726.889600514862,16.237964630126953,25.034605026245117,0.9200624163225386,1734057.0,0.04840541352097586,4144190.162490232,0.0,57369.83999999933,0.0,4071800.776686537,103839.63158610165,0.0,10933.946217592964,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-06-01,695.7755303117116,16.237964630126953,23.654621124267578,0.8793030496940298,1736573.0,0.04998193303096329,3967051.2819042997,0.0,60498.71999999942,0.0,3896845.4023658694,100306.94986820532,4979.519999999977,10915.889670224667,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
