ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1927-01-01,7900066.422000001,155.26666259765625,0.0,15079.013078334528,151798.0,102.0
1,1927-02-01,8573082.581999999,155.26666259765625,0.0,16363.61233819762,152359.0,103.0
1,1927-03-01,8063174.078999999,155.26666259765625,0.0,15390.339890249717,152920.0,100.0
1,1927-04-01,7570066.017000001,155.26666259765625,0.0,14449.134311260335,153481.0,101.0
1,1927-05-01,8131195.211999999,155.26666259765625,0.0,15520.17417186198,154042.0,101.0
1,1927-06-01,8299022.271,155.26666259765625,0.0,15840.509020370762,154603.0,101.0
1,1927-07-01,8523120.089999998,155.26666259765625,0.0,16268.247941235568,155164.0,102.0
1,1927-08-01,8240955.146999999,155.26666259765625,0.0,15729.674132046332,155725.0,102.0
1,1927-09-01,7739759.478,155.26666259765625,0.0,14773.032993919905,156286.0,102.0
1,1927-10-01,7933687.863,155.26666259765625,0.0,15143.186987953772,156847.0,102.0
1,1927-11-01,7811456.034000001,155.26666259765625,0.0,14909.880197649929,157408.0,102.0
1,1927-12-01,7827668.6729999995,155.26666259765625,0.0,14940.826062466804,157969.0,102.0
1,1928-01-01,8983901.733000001,138.72000122070312,0.0,17602.39962308446,158539.0,102.0
1,1928-02-01,9347623.808999998,138.72000122070312,0.0,18315.050041996812,161376.0,102.0
1,1928-03-01,9055122.915,138.72000122070312,0.0,17741.946308043436,164213.0,102.0
1,1928-04-01,8698305.039,138.72000122070312,0.0,17042.822360528957,167050.0,102.0
1,1928-05-01,9341818.194,138.72000122070312,0.0,18303.67551997269,169887.0,96.0
1,1928-06-01,8943044.964000002,138.72000122070312,0.0,17826.12613814115,172724.0,96.0
1,1928-07-01,9559782.149999999,138.72000122070312,0.0,19055.464066010536,175561.0,96.0
1,1928-08-01,9567225.036,138.72000122070312,0.0,19070.29993083657,178398.0,96.0
1,1928-09-01,8617549.749,138.72000122070312,0.0,17177.31817703196,181235.0,96.0
1,1928-10-01,9052771.344,138.72000122070312,0.0,18044.841505674845,184072.0,96.0
1,1928-11-01,8684618.463,138.72000122070312,0.0,17311.005904246536,186909.0,96.0
1,1928-12-01,8478455.802,138.72000122070312,0.0,16900.06135548182,189746.0,96.0
1,1929-01-01,9265171.659,139.54286193847656,0.0,18878.199137484527,192592.0,97.0
1,1929-02-01,9079870.649999999,139.54286193847656,0.0,18500.641208900994,193218.0,98.0
1,1929-03-01,8993347.737,139.54286193847656,0.0,18324.34691775252,193844.0,98.0
1,1929-04-01,8541700.359000001,139.54286193847656,0.0,17661.49285098884,194470.0,97.0
1,1929-05-01,9366873.617999999,139.54286193847656,0.0,19367.686113750344,195096.0,80.0
1,1929-06-01,9326926.989,139.54286193847656,0.0,19285.08931535993,195722.0,81.0
1,1929-07-01,9496599.054,139.54286193847656,0.0,19635.91664913296,196348.0,81.0
1,1929-08-01,9342428.459999999,139.54286193847656,0.0,19317.14195369562,196974.0,81.0
1,1929-09-01,8764429.889999999,139.54286193847656,0.0,18122.026521607735,197600.0,81.0
1,1929-10-01,9095264.105999999,139.54286193847656,0.0,18806.084881767085,198226.0,81.0
1,1929-11-01,8826904.338,139.54286193847656,0.0,18251.204702662144,198852.0,81.0
1,1929-12-01,8740621.946999999,139.54286193847656,0.0,18072.799340845733,199478.0,81.0
1,1930-01-01,9767487.114,135.8000030517578,0.0,20306.77495251219,200107.0,81.0
1,1930-02-01,1.059959109E7,135.8000030517578,0.0,22036.734839238066,202385.0,81.0
1,1930-03-01,9969150.218999999,135.8000030517578,0.0,20726.036042049764,204663.0,82.0
1,1930-04-01,9359481.087,135.8000030517578,0.0,19458.523352806256,206941.0,82.0
1,1930-05-01,1.0053250212000001E7,135.8000030517578,0.0,20900.881384708166,209219.0,81.0
1,1930-06-01,1.0260748296E7,135.8000030517578,0.0,21332.274757696887,211497.0,81.0
1,1930-07-01,1.0537818443999998E7,135.8000030517578,0.0,21908.30972532743,213775.0,81.0
1,1930-08-01,1.0188955244999997E7,135.8000030517578,0.0,21183.01449969373,216053.0,81.0
1,1930-09-01,9569286.753,135.8000030517578,0.0,19894.71296775003,218331.0,80.0
1,1930-10-01,9809056.004999999,135.8000030517578,0.0,20393.197397170712,220609.0,78.0
1,1930-11-01,9657930.965999998,135.8000030517578,0.0,20079.007009449488,222887.0,77.0
1,1930-12-01,9677975.957999999,135.8000030517578,0.0,20120.68208698932,225165.0,77.0
1,1931-01-01,9522877.131,176.06666564941406,0.0,19522.983961226066,227444.0,77.0
1,1931-02-01,9908420.154,176.06666564941406,0.0,20313.389901480547,227601.0,77.0
1,1931-03-01,9598371.12,176.06666564941406,0.0,19677.754656473775,227758.0,77.0
1,1931-04-01,9220146.501,176.06666564941406,0.0,18902.35164986715,227915.0,77.0
1,1931-05-01,9902266.242,176.06666564941406,0.0,20300.77124644408,228072.0,77.0
1,1931-06-01,9479569.220999997,176.06666564941406,0.0,19434.196641985392,228229.0,77.0
1,1931-07-01,1.0133306606999999E7,176.06666564941406,0.0,20774.43399042176,228386.0,77.0
1,1931-08-01,1.0141196019E7,176.06666564941406,0.0,20790.608807765784,228543.0,77.0
1,1931-09-01,9134546.418,176.06666564941406,0.0,18726.86171975656,228700.0,76.0
1,1931-10-01,9595878.465,176.06666564941406,0.0,19672.645019301366,228857.0,76.0
1,1931-11-01,9205638.819,176.06666564941406,0.0,18872.60981375692,229014.0,76.0
1,1931-12-01,8987107.746,176.06666564941406,0.0,18424.594525502842,229171.0,76.0
1,1932-01-01,1.0721359919999998E7,179.7166748046875,0.0,22168.342361478117,229337.0,76.0
1,1932-02-01,1.0313233752E7,179.7166748046875,0.0,21324.468646578072,231010.0,76.0
1,1932-03-01,1.0060114220999999E7,179.7166748046875,0.0,20801.099655294285,232683.0,77.0
1,1932-04-01,9774754.667999998,179.7166748046875,0.0,20211.06613678144,234356.0,77.0
1,1932-05-01,1.0329149984999998E7,179.7166748046875,0.0,21357.379595547878,236029.0,76.0
1,1932-06-01,1.0342298567999998E7,179.7166748046875,0.0,21781.65620342379,237702.0,76.0
1,1932-07-01,1.0720977474E7,179.7166748046875,0.0,22579.182370464438,239375.0,76.0
1,1932-08-01,1.0133091849E7,179.7166748046875,0.0,21341.049299241786,241048.0,76.0
1,1932-09-01,9741264.479999999,179.7166748046875,0.0,20515.833350667795,242721.0,76.0
1,1932-10-01,1.0122436611E7,179.7166748046875,0.0,21318.611059721552,244394.0,76.0
1,1932-11-01,9921839.313000003,179.7166748046875,0.0,20896.139317871945,246067.0,76.0
1,1932-12-01,1.0011531918E7,179.7166748046875,0.0,21085.038685291358,247740.0,76.0
1,1933-01-01,1.0964837372999998E7,184.10000610351562,0.0,23288.064015379692,249418.0,76.0
1,1933-02-01,1.1059716113999998E7,184.10000610351562,0.0,23489.575640125488,249911.0,76.0
1,1933-03-01,1.1185072889999999E7,184.10000610351562,0.0,23755.819135121426,250404.0,76.0
1,1933-04-01,1.0586319189E7,184.10000610351562,0.0,22484.136514958675,250897.0,76.0
1,1933-05-01,1.1260587033E7,184.10000610351562,0.0,23916.202562292077,251390.0,75.0
1,1933-06-01,1.1232445305000002E7,184.10000610351562,0.0,23856.434812959633,251883.0,75.0
1,1933-07-01,1.1783975712E7,184.10000610351562,0.0,25027.81897460225,252376.0,75.0
1,1933-08-01,1.1670931974E7,184.10000610351562,0.0,24787.7284161936,252869.0,75.0
1,1933-09-01,1.101461076E7,184.10000610351562,0.0,23393.777012598654,253362.0,76.0
1,1933-10-01,1.0889361443999998E7,184.10000610351562,0.0,23127.7617510401,253855.0,76.0
1,1933-11-01,1.0609096328999998E7,184.10000610351562,0.0,22532.510611006368,254348.0,76.0
1,1933-12-01,1.0521051863999998E7,184.10000610351562,0.0,22345.514855518228,254841.0,75.0
1,1934-01-01,1.2271735614E7,59.03999710083008,0.0,26340.66164362595,255336.0,75.0
1,1934-02-01,1.199240973E7,59.03999710083008,0.0,25741.097560661525,258028.0,75.0
1,1934-03-01,1.1662254650999999E7,59.03999710083008,0.0,25032.436475022736,260720.0,75.0
1,1934-04-01,1.1205372654000001E7,59.03999710083008,0.0,24051.762504458635,263412.0,76.0
1,1934-05-01,1.2269850185999999E7,59.03999710083008,0.0,26336.61089697385,266104.0,75.0
1,1934-06-01,1.2101856104999999E7,59.03999710083008,0.0,25976.017893878,268796.0,75.0
1,1934-07-01,1.2823272563999997E7,59.03999710083008,0.0,27524.50237679447,271488.0,74.0
1,1934-08-01,1.2391081679999998E7,59.03999710083008,0.0,26596.828148746263,274180.0,74.0
