ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1999-01-01,998949.4718999999,44.80669021606445,1037510.161884926,1885028.0
1,1999-02-01,1029276.6456000002,77.33465576171875,1071387.7206506848,1887659.0
1,1999-03-01,991733.3447999998,77.20699310302734,1028064.4227426175,1890290.0
1,1999-04-01,968881.1514000001,77.32089233398438,1018675.1533243596,1892921.0
1,1999-05-01,1021889.1432,75.7042465209961,1087665.777748247,1895552.0
1,1999-06-01,1162224.861,74.3499755859375,1242667.6511207374,1898183.0
1,1999-07-01,1214681.751,73.33052825927734,1299836.2489967702,1900814.0
1,1999-08-01,1203629.3067,72.59123992919922,1284948.4842663417,1903445.0
1,1999-09-01,1119503.2064999999,72.09419250488281,1190370.3743795904,1906076.0
1,1999-10-01,1128438.9591,71.784912109375,1207360.7979059045,1908707.0
1,1999-11-01,1092251.0715,71.20427703857422,1168200.0175803287,1911338.0
1,1999-12-01,1112762.037,70.73944854736328,1180595.6217159117,1913969.0
1,2000-01-01,1087242.6441,70.4700927734375,1236001.2664307472,1916604.0
1,2000-02-01,1133066.1129,70.69151306152344,1292385.4109816514,1919283.0
1,2000-03-01,1170543.4539,70.61610412597656,1331532.2333750944,1921962.0
1,2000-04-01,1063687.5903,70.68917083740234,1206418.169754804,1924641.0
1,2000-05-01,1212278.7615,70.8853988647461,1383096.7213432766,1927320.0
1,2000-06-01,1215462.8988,70.79939270019531,1388082.9441734597,1929999.0
1,2000-07-01,1250063.3487,70.67898559570312,1427700.723095432,1932678.0
1,2000-08-01,1233792.1469999999,70.56832885742188,1407970.4514191758,1935357.0
1,2000-09-01,1142894.4591,70.50201416015625,1299625.286426658,1938036.0
1,2000-10-01,1164377.7774,70.57184600830078,1325522.390452758,1940715.0
1,2000-11-01,1115666.244,70.59782409667969,1271453.7160587916,1943394.0
1,2000-12-01,1120640.472,70.5852279663086,1270713.3009694302,1946073.0
1,2001-01-01,1186170.4107,70.72686004638672,1351881.5941121052,1948757.0
1,2001-02-01,1132756.0464,70.708251953125,1293040.2035617153,1951391.0
1,2001-03-01,1177594.071,69.88202667236328,1340701.6566284683,1954025.0
1,2001-04-01,1105803.4409999999,69.2606430053711,1256364.5130731126,1956659.0
1,2001-05-01,1220425.6422,68.78423309326172,1392625.6910365766,1959293.0
1,2001-06-01,1210108.9401,68.14783477783203,1383363.397768599,1961927.0
1,2001-07-01,1268233.1508,67.47499084472656,1162044.382521767,1964561.0
1,2001-08-01,1275387.0459,67.49380493164062,1033907.5982469984,1967195.0
1,2001-09-01,1153927.4124,52.81707000732422,659319.1247569126,1969829.0
1,2001-10-01,1174888.2081,52.782875061035156,519763.56168918486,1972463.0
1,2001-11-01,1116109.9593,53.086090087890625,337913.9393149273,1975097.0
1,2001-12-01,1087431.3516,22.567562103271484,88703.48992507528,1977731.0
1,2002-01-01,1131566.4642,22.77933120727539,151874.35620767207,1980374.0
1,2002-02-01,1078370.8926,55.46175003051758,277516.1256966431,1983024.0
1,2002-03-01,1156500.4179,56.10725784301758,515348.6551905102,1985674.0
1,2002-04-01,1120902.8457,72.56102752685547,773751.3359942685,1988324.0
1,2002-05-01,1228222.3116,73.08012390136719,1026761.74463967,1990974.0
1,2002-06-01,1236008.3477999999,73.15528869628906,1118257.3120988521,1993624.0
