Date,94 - Water - Eildon Power Station 3-4 - 32.0 - S - 1954-01-01,102 - Water - West Kiewa - 34.0 - S - 1955-01-01,104 - Water - West Kiewa - 57.0 - S - 1956-01-01,113 - Water - Dartmouth - 158.0 - S - 1960-01-01,114 - Water - McKay Creek Power Station - 150.0 - S - 1960-01-01,122 - Water - Murray 1 - 950.0 - S - 1967-01-01,127 - Water - Murray 2 - 552.0 - S - 1969-01-01,129 - Natural Gas Pipeline - Jeeralang A - 220.0 - S - 1978-01-01,130 - Natural Gas Pipeline - Jeeralang B - 240.0 - S - 1979-01-01,131 - Natural Gas Pipeline - Newport - 500.0 - S - 1980-01-01,132 - Brown Coal - Yallourn W - 350.0 - S - 1982-01-01,133 - Brown Coal - Yallourn W - 350.0 - S - 1982-01-01,134 - Brown Coal - Yallourn W - 375.0 - S - 1982-01-01,135 - Brown Coal - Yallourn W - 375.0 - S - 1982-01-01,136 - Brown Coal - Loy Yang A Power Station - 560.0 - S - 1984-01-01,137 - Brown Coal - Loy Yang A Power Station - 530.0 - S - 1986-01-01,138 - Brown Coal - Loy Yang A Power Station - 560.0 - S - 1987-01-01,139 - Brown Coal - Loy Yang A Power Station - 560.0 - S - 1989-01-01,142 - Other - Ballarat Energy Storage System - 30.0 - S - 2019-06-12,148 - Brown Coal - Loy Yang B Power Station - 500.0 - S - 1993-01-01,149 - Brown Coal - Loy Yang B Power Station - 500.0 - S - 1993-01-01,157 - Water - Eildon - 60.0 - S - 1996-01-01,159 - Water - Eildon - 60.0 - S - 1996-01-01,164 - Natural Gas Pipeline - Bairnsdale - 47.0 - S - 2001-01-01,165 - Natural Gas Pipeline - Bairnsdale - 47.0 - S - 2001-01-01,172 - Natural Gas Pipeline - Valley Power - 50.0 - S - 2002-04-01,173 - Natural Gas Pipeline - Valley Power - 50.0 - S - 2002-04-01,174 - Natural Gas Pipeline - Valley Power - 50.0 - S - 2002-04-01,175 - Natural Gas Pipeline - Valley Power - 50.0 - S - 2002-04-01,176 - Natural Gas Pipeline - Valley Power - 50.0 - S - 2002-04-01,177 - Natural Gas Pipeline - Valley Power - 50.0 - S - 2002-04-01,181 - Natural Gas Pipeline - Laverton North - 156.0 - S - 2006-01-01,182 - Natural Gas Pipeline - Laverton North - 156.0 - S - 2006-01-01,187 - Water - Bogong / Mackay - 162.0 - S - 2009-10-05,188 - Water - Bogong / Mackay - 140.0 - S - 2009-10-05,191 - Natural Gas Pipeline - Mortlake - 283.0 - S - 2010-01-01,192 - Natural Gas Pipeline - Mortlake - 283.0 - S - 2010-01-01,236 - Water - Dartmouth - 185.0 - S - 2001-06-20,243 - Natural Gas Pipeline - Somerton - 170.0 - S - 2013-01-01,258 - Natural Gas Pipeline - Jeeralang A - 53.0 - S - 2017-07-01,259 - Natural Gas Pipeline - Jeeralang A - 53.0 - S - 2017-07-01,260 - Natural Gas Pipeline - Jeeralang A - 53.0 - S - 2017-07-01,261 - Natural Gas Pipeline - Jeeralang A - 53.0 - S - 2017-07-01,262 - Natural Gas Pipeline - Jeeralang B - 76.0 - S - 2017-07-01,263 - Natural Gas Pipeline - Jeeralang B - 76.0 - S - 2017-07-01,264 - Natural Gas Pipeline - Jeeralang B - 76.0 - S - 2017-07-01,289 - N/A - Nowingi Solar Storage - Storage - 80.0 - S - 2020-01-02,296 - Natural Gas Pipeline - Mortlake - 200.0 - S - 2020-04-01,300 - Brown Coal - Loy Yang B Upgrade - 80.0 - S - 2020-05-12,333 - Natural Gas Pipeline - Tarrone GT - 550.0 - S - 2022-01-01
2018-01-01,0.48271,0.48271,0.48271,0.48271,0.48271,0.48271,0.48271,0.1261,0.1261,0.1261,0.91565,0.91565,0.91565,0.91565,0.91565,0.91565,0.91565,0.91565,0.0,0.91565,0.91565,0.48271,0.48271,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.48271,0.48271,0.1261,0.1261,0.48271,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.0,0.0,0.0,0.0
2018-02-01,0.40225,0.40225,0.40225,0.40225,0.40225,0.40225,0.40225,0.08039,0.08039,0.08039,0.90811,0.90811,0.90811,0.90811,0.90811,0.90811,0.90811,0.90811,0.0,0.90811,0.90811,0.40225,0.40225,0.08039,0.08039,0.08039,0.08039,0.08039,0.08039,0.08039,0.08039,0.08039,0.08039,0.40225,0.40225,0.08039,0.08039,0.40225,0.08039,0.08039,0.08039,0.08039,0.08039,0.08039,0.08039,0.08039,0.0,0.0,0.0,0.0
2018-03-01,0.3132,0.3132,0.3132,0.3132,0.3132,0.3132,0.3132,0.0527,0.0527,0.0527,0.89873,0.89873,0.89873,0.89873,0.89873,0.89873,0.89873,0.89873,0.0,0.89873,0.89873,0.3132,0.3132,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.3132,0.3132,0.0527,0.0527,0.3132,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.0,0.0,0.0,0.0
2018-04-01,0.27601,0.27601,0.27601,0.27601,0.27601,0.27601,0.27601,0.03951,0.03951,0.03951,0.89681,0.89681,0.89681,0.89681,0.89681,0.89681,0.89681,0.89681,0.0,0.89681,0.89681,0.27601,0.27601,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,0.27601,0.27601,0.03951,0.03951,0.27601,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,0.0,0.0,0.0,0.0
2018-05-01,0.31173,0.31173,0.31173,0.31173,0.31173,0.31173,0.31173,0.0314,0.0314,0.0314,0.90238,0.90238,0.90238,0.90238,0.90238,0.90238,0.90238,0.90238,0.0,0.90238,0.90238,0.31173,0.31173,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.31173,0.31173,0.0314,0.0314,0.31173,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0,0.0,0.0,0.0
2018-06-01,0.37973,0.37973,0.37973,0.37973,0.37973,0.37973,0.37973,0.02665,0.02665,0.02665,0.90996,0.90996,0.90996,0.90996,0.90996,0.90996,0.90996,0.90996,0.0,0.90996,0.90996,0.37973,0.37973,0.02665,0.02665,0.02665,0.02665,0.02665,0.02665,0.02665,0.02665,0.02665,0.02665,0.37973,0.37973,0.02665,0.02665,0.37973,0.02665,0.02665,0.02665,0.02665,0.02665,0.02665,0.02665,0.02665,0.0,0.0,0.0,0.0
2018-07-01,0.4041,0.4041,0.4041,0.4041,0.4041,0.4041,0.4041,0.02277,0.02277,0.02277,0.91322,0.91322,0.91322,0.91322,0.91322,0.91322,0.91322,0.91322,0.0,0.91322,0.91322,0.4041,0.4041,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.4041,0.4041,0.02277,0.02277,0.4041,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.0,0.0,0.0,0.0
2018-08-01,0.40668,0.40668,0.40668,0.40668,0.40668,0.40668,0.40668,0.01986,0.01986,0.01986,0.91421,0.91421,0.91421,0.91421,0.91421,0.91421,0.91421,0.91421,0.0,0.91421,0.91421,0.40668,0.40668,0.01986,0.01986,0.01986,0.01986,0.01986,0.01986,0.01986,0.01986,0.01986,0.01986,0.40668,0.40668,0.01986,0.01986,0.40668,0.01986,0.01986,0.01986,0.01986,0.01986,0.01986,0.01986,0.01986,0.0,0.0,0.0,0.0
2018-09-01,0.37881,0.37881,0.37881,0.37881,0.37881,0.37881,0.37881,0.01768,0.01768,0.01768,0.91068,0.91068,0.91068,0.91068,0.91068,0.91068,0.91068,0.91068,0.0,0.91068,0.91068,0.37881,0.37881,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.37881,0.37881,0.01768,0.01768,0.37881,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.0,0.0,0.0,0.0
2018-10-01,0.34335,0.34335,0.34335,0.34335,0.34335,0.34335,0.34335,0.01588,0.01588,0.01588,0.90325,0.90325,0.90325,0.90325,0.90325,0.90325,0.90325,0.90325,0.0,0.90325,0.90325,0.34335,0.34335,0.01588,0.01588,0.01588,0.01588,0.01588,0.01588,0.01588,0.01588,0.01588,0.01588,0.34335,0.34335,0.01588,0.01588,0.34335,0.01588,0.01588,0.01588,0.01588,0.01588,0.01588,0.01588,0.01588,0.0,0.0,0.0,0.0
