Time (Year),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1966,2677.8626959021954,27.5939998626709,3.3910510519721653,942691.0
1967,2787.225580775257,27.917999267578125,3.5433536027948844,972904.0
1968,2849.075756856802,27.236000061035156,3.6353256644532297,1008112.0
1969,2918.5919324016722,11.989999771118164,3.7371452952889848,1040867.0
1926,553.7651465074792,79.20000457763672,0.7284863135927557,149196.0
1927,623.9521849825124,81.60000610351562,0.8208184100476185,157969.0
1928,624.5428294701259,61.19999694824219,0.8051725348214059,189746.0
1929,555.323589170119,59.39999771118164,0.7159280366418688,199478.0
2013,6030.786341238011,27.25,6.405011034378163,2419078.0
2014,5737.540922473465,31.244003295898438,6.635555708755183,2456232.0
2015,5512.4935376068515,17.53499984741211,6.285162654622946,2493503.0
1960,1962.0650252663684,26.400001525878906,2.4004425170423547,765525.0
2016,5328.984744785813,27.45599937438965,5.8381616641105865,2530887.0
1961,2036.7281018480303,26.400001525878906,2.4917924169399144,793757.0
2017,5105.325971840572,25.5,5.320485402547325,2568389.0
1962,2023.8459329140107,26.400001525878906,2.476027262063559,822554.0
2018,5025.966599278745,21.899999618530273,4.917804579024307,2606011.0
1963,2221.638246208577,26.400001525878906,2.7180156611519424,846561.0
1964,2457.5400176886283,26.400001525878906,3.0948174242338427,879887.0
1965,2643.5712487482533,23.099998474121094,3.330397805223204,911324.0
1999,6865.841031541651,23.073999404907227,7.717811096196615,1913969.0
1955,1575.42636777784,26.600000381469727,1.9481443535080964,624181.0
1956,1708.5230294418338,28.0,2.090255964693964,650938.0
1957,1739.4563322498889,26.0,2.128089973073498,684133.0
1958,1806.7220341184695,28.600000381469727,2.210404686081908,706517.0
1959,1876.3847764055865,28.600000381469727,2.2956341957135713,735235.0
2002,7144.1255140528865,24.549001693725586,8.03101212359442,2009524.0
1991,5461.658739897423,30.750999450683594,6.1673635496762635,1672760.0
2003,7210.037313005614,23.61600112915039,8.105871831125917,2041274.0
1992,5582.6272870829835,31.56300163269043,6.299296142360174,1701667.0
2004,7224.833059985367,22.959999084472656,8.122504916172968,2073511.0
1993,5701.103641548863,31.992002487182617,6.402897030817423,1730441.0
2005,7098.568563963521,22.0570011138916,8.108481167658802,2121897.0
1994,5814.440032752895,32.94200134277344,6.593609172450728,1760059.0
1950,1204.3636108459275,28.599998474121094,1.5209909774921013,484549.0
