Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1999,6.865840507151136,19.837518056233723,8.715863903332002,1913969.0
2013,6.426332282829866,53.01046450932821,8.060813159969053,2419078.0
2002,7.144125718843361,80.54461002349854,9.025476879376127,2009524.0
2014,6.14307642824432,96.22021881739299,7.820278606254428,2456232.0
2003,7.210035404753332,167.48711442947388,9.159595288715392,2041274.0
2015,6.008279222364379,75.27102502187093,7.592650384854618,2493503.0
2004,7.224830625826129,155.4384217262268,9.216571698072553,2073511.0
2016,5.877690577937169,101.63858350118001,7.60163293000016,2530887.0
2005,7.098569259787514,155.45260111490884,9.043140927651196,2121897.0
2017,5.668206006714754,433.43121910095215,6.967331681723657,2568389.0
2006,7.167913043584909,151.83671061197916,9.211259247543174,2160537.0
2018,5.734616198200566,705.6916147867838,6.566234080457619,2606011.0
2007,7.131008914666183,132.58620071411133,9.17937329407467,2197670.0
2008,7.080822773639424,117.15529441833496,9.131510850385682,2234567.0
2009,6.930057755090797,106.89026006062825,8.892704889493489,2271379.0
2010,6.852120293621882,102.00876172383626,8.747882135578353,2308205.0
2011,6.640860842997578,93.2164732615153,8.42142898192437,2345086.0
2000,7.202034125046574,44.40419371922811,9.060223340229012,1946073.0
2012,6.546463460048318,79.48552385965984,8.276780442567715,2382031.0
2001,7.18691150632518,93.49540980656941,9.058099472738197,1977731.0
