Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1966,2.677867545957721,27.5939998626709,2.724978731081173,942691.0
1967,2.7872264475148385,27.917999267578125,2.745648694076687,972904.0
1968,2.849077008347923,27.236000061035156,2.6522191197128073,1008112.0
1969,2.91859640669096,11.989999771118164,2.4357202469416923,1040867.0
1925,0.0,51.0,0.0,118013.0
1926,0.5537651597581248,79.20000457763672,0.719769077228484,149196.0
1927,0.6239604665460636,81.60000610351562,0.8138961611720869,157969.0
1928,0.6245274172670311,61.19999694824219,0.8177172165615303,189746.0
1929,0.5553243721538089,59.39999771118164,0.7293770643266515,199478.0
2013,6.426332282829866,43.37872187296549,5.435146428346057,2419078.0
2014,6.14307642824432,43.38344097137451,5.06837522761226,2456232.0
2015,6.008279222364379,43.470407803853355,4.8586684523593275,2493503.0
1960,1.9620655304071584,26.400001525878906,2.794027276780903,765525.0
2016,5.877690577937169,43.48163382212321,4.66668240651885,2530887.0
1961,2.0367287268282803,26.400001525878906,2.960234244833681,793757.0
2017,5.668206006714754,53.87219365437826,4.120089619367931,2568389.0
1962,2.0238458276641635,26.400001525878906,2.889563258582073,822554.0
2018,5.734616198200566,77.26800568898518,3.980642231409272,2606011.0
1963,2.221636124657491,26.400001525878906,3.181890716481892,846561.0
1964,2.457541582635935,26.400001525878906,2.651468008015582,879887.0
1965,2.643571230765258,23.099998474121094,2.847838085657085,911324.0
1999,6.865840507151136,52.717211405436196,5.286791857305406,1913969.0
1955,1.5754250353174999,26.600000381469727,2.2300430582272197,624181.0
1956,1.708526089168147,28.0,2.430040900151604,650938.0
1957,1.7394572185864217,26.0,2.473772667919764,684133.0
1958,1.8067242080008499,28.600000381469727,2.5663878794502226,706517.0
1959,1.8763794459984666,28.600000381469727,2.6289276116567732,735235.0
2002,7.144125718843361,48.629806200663246,5.50965605001051,2009524.0
1991,5.46166081774461,30.750999450683594,3.7014284690314945,1672760.0
2003,7.210035404753332,49.467162450154625,5.554739680409506,2041274.0
1992,5.582628943456028,31.56300163269043,3.7820798510731493,1701667.0
2004,7.224830625826129,49.12907409667969,5.6716288317964665,2073511.0
1993,5.7011061179320945,31.992002487182617,3.840493709175653,1730441.0
2005,7.098569259787514,48.39780966440836,5.666761600841097,2121897.0
1994,5.814439233797713,32.94200134277344,3.7697913487336803,1760059.0
1950,1.2043659958360318,28.599998474121094,2.0139026581883894,484549.0
2006,7.167913043584909,48.1331901550293,5.583712756311269,2160537.0
1995,5.921314267686884,33.93000030517578,3.9435899280224525,1790511.0
1951,1.2729661144679891,27.0,2.155309977557625,512301.0
2007,7.131008914666183,48.09862105051676,5.673186638079458,2197670.0
1996,6.023783616420056,28.39000129699707,4.134664044540702,1820812.0
1952,1.2873844068123104,28.5,2.1699846903716216,537744.0
2008,7.080822773639424,47.89724540710449,5.785341667684726,2234567.0
1997,6.123247685561663,27.715999603271484,4.322505286041259,1851354.0
1953,1.3212742374954138,28.5,2.121807595063493,567678.0
2009,6.930057755090797,47.80240790049235,5.868451261501409,2271379.0
