Time (Year),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2035,4660.251374239355,20.390177567799885,59.73622353871664,0.6087153823206027,3470790.0
2013,6426.332282829865,13.816175619761148,43.115110079447426,6.4618416721518495,2419078.0
2014,6143.0764282443215,12.791161139806112,43.24330917994181,6.224706226730248,2456232.0
2015,6125.315079671942,10.00773549079895,37.91652488708496,6.148224536330962,2459337.0
2016,6105.361015190272,11.296831687291464,39.60789664586385,6.01384791430814,2446215.0
2017,5837.6695321188845,17.139195601145428,92.36896864573161,5.228879870898702,2503163.0
2018,5858.719839807489,27.32786750793457,93.24085680643718,5.172986832034807,2560111.0
2019,5467.494443816287,19.88184881210327,67.27286720275879,4.705437378015599,2617059.0
2020,6075.4408910724305,22.25531593958537,76.13890107472737,4.065194987519742,2674007.0
2021,5944.667032318897,14.073447465896606,43.25975831349691,2.1914331423795255,2727152.0
2022,5320.3441898294805,9.12623961766561,29.885637124379475,0.7710479909837401,2779948.0
2000,7202.0341250465735,16.893907070159912,41.355563481648765,5.902383726192464,1946073.0
2023,5280.783976769908,9.203193108240763,32.584226767222084,0.7985768442718848,2832744.0
2001,7186.911506325179,17.21476395924886,40.40402364730835,5.91087123073536,1977731.0
1999,6865.840507151135,20.128172397613525,35.308366775512695,5.582252213038073,1913969.0
2024,5246.464549450835,7.85335099697113,21.944616715113323,0.3944353042192767,2885540.0
2002,7144.125718843361,15.272667249043783,43.75612719853719,5.913939014805685,2009524.0
2025,5221.0931517000345,7.250247756640117,25.437344074249268,0.4250624800153504,2938336.0
2003,7210.035404753331,19.147610982259113,52.271648248036705,5.979411382990991,2041274.0
2026,5131.753929108796,8.191484212875366,27.507911046346027,0.42479092497980364,2991014.0
2004,7224.830625826128,20.656359990437824,56.5594425201416,6.083213463668556,2073511.0
2027,5081.316614288971,9.142828385035196,30.53487205505371,0.4425749673274203,3043672.0
2005,7098.569259787513,21.33809487024943,56.80388927459717,6.079782981049514,2121897.0
2028,5024.858880147018,10.267693678538004,33.549180348714195,0.45747272124957244,3096330.0
2006,7167.913043584909,21.67712386449178,61.520728747049965,6.203321246367289,2160537.0
2029,4980.01618606393,11.590245962142944,37.435760815938316,0.47628595649089794,3148988.0
2007,7131.008914666183,23.248451073964436,67.51843961079915,6.265267945465234,2197670.0
2008,7080.822773639426,23.08098856608073,64.76000499725342,6.410102654765006,2234567.0
2009,6930.0577550907965,23.198840777079266,69.38521416982015,6.418453649366106,2271379.0
2030,4908.898639340789,12.888024489084879,40.44540707270304,0.4836777458051964,3201646.0
2031,4849.45450267053,14.065398772557577,43.28362496693929,0.49735639241298013,3255394.0
2032,4791.782659616125,15.612845659255981,47.77233870824178,0.5154336910523513,3309243.0
2010,6852.1202936218815,19.41205867131551,55.761396408081055,6.551428074317013,2308205.0
2033,4740.166299608084,17.256150086720783,52.55024496714274,0.5547288155223941,3363092.0
2011,6640.860842997579,15.438764492670694,47.38801415761312,6.670571167578158,2345086.0
2034,4696.40996411647,18.884902318318684,55.96529038747152,0.5794501075469074,3416941.0
2012,6546.463460048318,14.382634798685709,47.19444274902344,6.745085926298009,2382031.0
