Time (Year),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1966,2677.8675459577207,27.5939998626709,0.0,3.0317811232091354,942691.0
1967,2787.226447514839,36.16649627685547,0.0,2.8965668935404993,972904.0
1968,2849.0770083479238,35.28300094604492,0.0,2.7840268484039177,1008112.0
1969,2918.596406690959,31.4737491607666,0.0,2.5021230153280927,1040867.0
2013,6426.332282829865,13.83307147026062,43.16014083226522,6.461595085007056,2419078.0
2014,6143.0764282443215,12.797607421875,43.27003335952759,6.225011801482888,2456232.0
2015,6125.315079671942,10.006970802942911,37.92355616887411,6.148619354712087,2459337.0
1960,1962.0655304071586,29.400001525878906,0.0,3.436029867477857,765525.0
2016,6105.361015190272,11.302939176559448,39.617448806762695,6.01377322494621,2446215.0
1961,2036.7287268282805,29.400001525878906,0.0,3.6118282857442736,793757.0
2017,5837.6695321188845,17.13196571667989,92.32795429229736,5.22819701611341,2503163.0
1962,2023.8458276641638,29.400001525878906,0.0,3.4730740331393664,822554.0
2018,5858.719839807489,27.332340558369953,93.27942657470703,5.173896032317483,2560111.0
1963,2221.636124657491,29.400001525878906,0.0,3.8184800994202215,846561.0
2019,5467.494443816287,19.88056166966756,67.22469298044841,4.705083654879741,2617059.0
1964,2457.541582635935,28.200000762939453,0.0,2.9808815500126977,879887.0
1965,2643.571230765258,23.099998474121094,0.0,3.1993696664387063,911324.0
2020,6161.109803309983,23.21727768580119,80.97964096069336,4.146463031252303,2674007.0
2021,6101.987661660696,14.816324551900228,45.44310347239176,2.343088566866921,2727152.0
2022,6071.774954233976,10.440877437591553,36.154743671417236,1.356596672895475,2779948.0
2023,6068.352948152839,11.19287896156311,39.38778289159139,1.4330878112295573,2832744.0
1955,1575.4250353174998,31.080001831054688,0.0,2.7759938017685384,624181.0
1956,1708.526089168147,33.31999969482422,0.0,2.9629713207795985,650938.0
1957,1739.4572185864215,30.940000534057617,0.0,3.066698358744727,684133.0
1958,1806.7242080008498,31.46000099182129,0.0,3.304380417196648,706517.0
