Actor Id,Organisation Name,RegistrationDate,Date of Change,ABN /CAN /ARBN /Other,Region,Role,Business Structure,Relationships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Victorian Electric Light Co.,1880-01-01,1881-02-01,noabn001,VIC,GENERATOR,Private Company,"(3,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Australian Electric Light, Power and Storage Co.",1880-02-01,1881-03-01,noabn002,VIC,GENERATOR,Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Australian Electric Light Co Ltd.,1881-02-01,1883-05-01,noabn001,VIC,GENERATOR,Private Company Limited by Shares,"(4,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,(New) Australasian Electric Co. Ltd.,1883-05-01,1889-05-01,noabn001,VIC,GENERATOR,Private Company Limited by Shares,"(10,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A.U. Alcock Electric Light and Motive Power Ltd.,1886-06-01,1901-01-14,noabn003,VIC,GENERATOR,Private Company Limited by Shares,"(13,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Essendon Land Tramway Co. Ltd.,1887-06-01,1921-06-06,noabn004,VIC,GENERATOR,Private Company Limited by Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Southern Electric Co.,1887-03-01,1889-02-01,noabn005,VIC,GENERATOR,Private Company,"(13,8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Electric Light and Power Supply Co. Ltd.,1887-02-01,1889-02-01,noabn006,VIC,GENERATOR,Private Company Limited by Shares,"(13,8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fry Bros Flour Mill,1889-03-08,1898-10-10,noabn007,VIC,GENERATOR,Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,New Australian Electric Co. Ltd.,1889-05-01,1901-01-14,noabn008,VIC,GENERATOR,Private Company Limited by Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Australasian Electric Tramways Co. Ltd.,1890-01-01,1893-02-01,noabn009,VIC,GENERATOR,Private Company Limited by Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,British Insulated Wire Co. Ltd. (England),1890-01-01,1901-02-19,noabn010,OTHER,GENERATOR,Private Company Limited by Shares,"(19,1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Union Electric Co. of Australia Ltd.,1890-01-01,1897-02-01,noabn011,VIC,GENERATOR,Private Company Limited by Shares,"(7,3)","(8,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Thos. T. Draper and Co., Melbourne",1891-01-01,1900-11-13,noabn012,VIC,GENERATOR,Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bendigo Electric Co.,1892-04-01,1900-11-13,noabn013,VIC,GENERATOR,Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Daylesford Electric Light and Power Supply Co. Ltd,1893-01-01,1900-11-13,noabn014,VIC,GENERATOR,Private Company Limited by Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Corporation of the City of Melbourne (as electricity provider),1894-01-01,1994-09-01,55370219287,VIC,UTILITY_RETAILER,Local Government Entity,"(2,3)","(14,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ballarat Electric Supply Co. Limited,1894-03-01,1899-03-10,noabn0015,VIC,GENERATOR,Private Company Limited by Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,British Insulated Wire Co. Ltd. (Victoria),1897-04-28,1904-01-01,noabn0016,VIC,GENERATOR,Private Company Limited by Shares,"(15,3)","(18,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
