TIMEYear,region,DwellingType, Couple family with children , Couple family without children , One parent family , Other family , Lone person , Group household ,households
1996,Vic,DETACHED,543568,306647,125664,14514,203714,35805,1229912
1996,Vic,SEMI-DETACHED,14923,22332,10283,2217,40071,9323,99149
1996,Vic,LOW FLAT,15478,28885,14492,3978,91569,14510,168912
1996,Vic,HIGH FLAT,2380,2290,2249,589,6862,1139,15509
1997,Vic,DETACHED,,,,,,,
1997,Vic,SEMI-DETACHED,,,,,,,
1997,Vic,LOW FLAT,,,,,,,
1997,Vic,HIGH FLAT,,,,,,,
1998,Vic,DETACHED,,,,,,,
1998,Vic,SEMI-DETACHED,,,,,,,
1998,Vic,LOW FLAT,,,,,,,
1998,Vic,HIGH FLAT,,,,,,,
1999,Vic,DETACHED,,,,,,,
1999,Vic,SEMI-DETACHED,,,,,,,
1999,Vic,LOW FLAT,,,,,,,
1999,Vic,HIGH FLAT,,,,,,,
2000,Vic,DETACHED,,,,,,,
2000,Vic,SEMI-DETACHED,,,,,,,
2000,Vic,LOW FLAT,,,,,,,
2000,Vic,HIGH FLAT,,,,,,,
2001,Vic,DETACHED,553098,337598,144227,15420,230580,35182,1316105
2001,Vic,SEMI-DETACHED,21018,33459,14133,2956,55235,10999,137800
2001,Vic,LOW FLAT,12906,29965,14259,3745,90256,13982,165113
2001,Vic,HIGH FLAT,1955,4605,2341,1221,10128,2614,22864
2002,Vic,DETACHED,,,,,,,
2002,Vic,SEMI-DETACHED,,,,,,,
2002,Vic,LOW FLAT,,,,,,,
2002,Vic,HIGH FLAT,,,,,,,
2003,Vic,DETACHED,,,,,,,
2003,Vic,SEMI-DETACHED,,,,,,,
2003,Vic,LOW FLAT,,,,,,,
2003,Vic,HIGH FLAT,,,,,,,
2004,Vic,DETACHED,,,,,,,
2004,Vic,SEMI-DETACHED,,,,,,,
2004,Vic,LOW FLAT,,,,,,,
2004,Vic,HIGH FLAT,,,,,,,
2005,Vic,DETACHED,,,,,,,
2005,Vic,SEMI-DETACHED,,,,,,,
2005,Vic,LOW FLAT,,,,,,,
2005,Vic,HIGH FLAT,,,,,,,
2006,Vic,DETACHED,558311,372227,162596,15056,253905,37929,1400024
2006,Vic,SEMI-DETACHED,31023,41975,17526,2933,60335,12218,166010
2006,Vic,LOW FLAT,16592,37191,16249,4080,99690,16112,189914
2006,Vic,HIGH FLAT,2715,8792,2690,1840,15750,4818,36605
2007,Vic,DETACHED,,,,,,,
2007,Vic,SEMI-DETACHED,,,,,,,
2007,Vic,LOW FLAT,,,,,,,
2007,Vic,HIGH FLAT,,,,,,,
2008,Vic,DETACHED,,,,,,,
2008,Vic,SEMI-DETACHED,,,,,,,
2008,Vic,LOW FLAT,,,,,,,
2008,Vic,HIGH FLAT,,,,,,,
2009,Vic,DETACHED,,,,,,,
2009,Vic,SEMI-DETACHED,,,,,,,
2009,Vic,LOW FLAT,,,,,,,
2009,Vic,HIGH FLAT,,,,,,,
2010,Vic,DETACHED,,,,,,,
2010,Vic,SEMI-DETACHED,,,,,,,
2010,Vic,LOW FLAT,,,,,,,
2010,Vic,HIGH FLAT,,,,,,,
2011,Vic,DETACHED,608265,426119,193751,17401,284325,44969,1574830
2011,Vic,SEMI-DETACHED,39485,48985,20034,3192,65225,13626,190547
2011,Vic,LOW FLAT,21166,45486,16342,3859,98199,16988,202040
2011,Vic,HIGH FLAT,13576,4012,3477,1914,22439,6345,51763
2012,Vic,DETACHED,,,,,,,
2012,Vic,SEMI-DETACHED,,,,,,,
2012,Vic,LOW FLAT,,,,,,,
2012,Vic,HIGH FLAT,,,,,,,
2013,Vic,DETACHED,,,,,,,
2013,Vic,SEMI-DETACHED,,,,,,,
2013,Vic,LOW FLAT,,,,,,,
2013,Vic,HIGH FLAT,,,,,,,
2014,Vic,DETACHED,,,,,,,
2014,Vic,SEMI-DETACHED,,,,,,,
2014,Vic,LOW FLAT,,,,,,,
2014,Vic,HIGH FLAT,,,,,,,
2015,Vic,DETACHED,,,,,,,
2015,Vic,SEMI-DETACHED,,,,,,,
2015,Vic,LOW FLAT,,,,,,,
2015,Vic,HIGH FLAT,,,,,,,
2016,Vic,DETACHED,638384,441867,200620,18004,286735,50397,1636007
2016,Vic,SEMI-DETACHED,73351,75993,33417,4577,55626,9777,252741
2016,Vic,LOW FLAT,17735,36688,11042,2714,28855,5072,102106
2016,Vic,HIGH FLAT,7220,25670,4904,2788,18272,3212,62066
2017,Vic,DETACHED,,,,,,,
2017,Vic,SEMI-DETACHED,,,,,,,
2017,Vic,LOW FLAT,,,,,,,
2017,Vic,HIGH FLAT,,,,,,,
2018,Vic,DETACHED,,,,,,,
2018,Vic,SEMI-DETACHED,,,,,,,
2018,Vic,LOW FLAT,,,,,,,
2018,Vic,HIGH FLAT,,,,,,,
2019,Vic,DETACHED,,,,,,,
2019,Vic,SEMI-DETACHED,,,,,,,
2019,Vic,LOW FLAT,,,,,,,
2019,Vic,HIGH FLAT,,,,,,,
2020,Vic,DETACHED,,,,,,,
2020,Vic,SEMI-DETACHED,,,,,,,
2020,Vic,LOW FLAT,,,,,,,
2020,Vic,HIGH FLAT,,,,,,,
2021,Vic,DETACHED,,,,,,,
2021,Vic,SEMI-DETACHED,,,,,,,
2021,Vic,LOW FLAT,,,,,,,
2021,Vic,HIGH FLAT,,,,,,,
2022,Vic,DETACHED,,,,,,,
2022,Vic,SEMI-DETACHED,,,,,,,
2022,Vic,LOW FLAT,,,,,,,
2022,Vic,HIGH FLAT,,,,,,,
2023,Vic,DETACHED,,,,,,,
2023,Vic,SEMI-DETACHED,,,,,,,
2023,Vic,LOW FLAT,,,,,,,
2023,Vic,HIGH FLAT,,,,,,,
2024,Vic,DETACHED,,,,,,,
2024,Vic,SEMI-DETACHED,,,,,,,
2024,Vic,LOW FLAT,,,,,,,
2024,Vic,HIGH FLAT,,,,,,,
2025,Vic,DETACHED,,,,,,,
2025,Vic,SEMI-DETACHED,,,,,,,
2025,Vic,LOW FLAT,,,,,,,
2025,Vic,HIGH FLAT,,,,,,,
2026,Vic,DETACHED,,,,,,,
2026,Vic,SEMI-DETACHED,,,,,,,
2026,Vic,LOW FLAT,,,,,,,
2026,Vic,HIGH FLAT,,,,,,,
2027,Vic,DETACHED,,,,,,,
2027,Vic,SEMI-DETACHED,,,,,,,
2027,Vic,LOW FLAT,,,,,,,
2027,Vic,HIGH FLAT,,,,,,,
2028,Vic,DETACHED,,,,,,,
2028,Vic,SEMI-DETACHED,,,,,,,
2028,Vic,LOW FLAT,,,,,,,
2028,Vic,HIGH FLAT,,,,,,,
2029,Vic,DETACHED,,,,,,,
2029,Vic,SEMI-DETACHED,,,,,,,
2029,Vic,LOW FLAT,,,,,,,
2029,Vic,HIGH FLAT,,,,,,,
2030,Vic,DETACHED,,,,,,,
2030,Vic,SEMI-DETACHED,,,,,,,
2030,Vic,LOW FLAT,,,,,,,
2030,Vic,HIGH FLAT,,,,,,,
2031,Vic,DETACHED,,,,,,,
2031,Vic,SEMI-DETACHED,,,,,,,
2031,Vic,LOW FLAT,,,,,,,
2031,Vic,HIGH FLAT,,,,,,,
2032,Vic,DETACHED,,,,,,,
2032,Vic,SEMI-DETACHED,,,,,,,
2032,Vic,LOW FLAT,,,,,,,
2032,Vic,HIGH FLAT,,,,,,,
2033,Vic,DETACHED,,,,,,,
2033,Vic,SEMI-DETACHED,,,,,,,
2033,Vic,LOW FLAT,,,,,,,
2033,Vic,HIGH FLAT,,,,,,,
2034,Vic,DETACHED,,,,,,,
2034,Vic,SEMI-DETACHED,,,,,,,
2034,Vic,LOW FLAT,,,,,,,
2034,Vic,HIGH FLAT,,,,,,,
2035,Vic,DETACHED,,,,,,,
2035,Vic,SEMI-DETACHED,,,,,,,
2035,Vic,LOW FLAT,,,,,,,
2035,Vic,HIGH FLAT,,,,,,,
2036,Vic,DETACHED,,,,,,,
2036,Vic,SEMI-DETACHED,,,,,,,
2036,Vic,LOW FLAT,,,,,,,
2036,Vic,HIGH FLAT,,,,,,,
