TIMEYear,Appliances,Cooking,Lighting,Space conditioning,Water heating,Total Electricity,Natural Gas,LPG,Wood
2000,17.9,1.8,7.1,4.6,7.3,38.7,83.3,1.4,18
2001,18.2,1.9,7.4,4.8,7.3,39.5,86.3,1.5,17.3
2002,18.5,1.9,7.7,5,7.3,40.5,88.8,1.5,16.5
2003,19,1.9,8.2,5.2,7.3,41.6,90.5,1.5,15.7
2004,19.5,2,8.8,5.4,7.3,43,92.3,1.6,14.9
2005,20,2,8.9,5.6,7.2,43.8,93.2,1.6,13.9
2006,20.7,2,8.9,5.8,7.1,44.6,94.2,1.6,13
2007,21.4,2.1,8.7,6,6.9,45.2,95.4,1.6,12.1
2008,22.1,2.2,8.2,6.2,6.8,45.4,96.6,1.7,11.2
2009,22.5,2.2,7.6,6.4,6.4,45.2,96.6,1.7,10.5
2010,22.8,2.3,7.2,6.6,6,44.9,96.5,1.7,10
2011,22.9,2.3,7,6.7,5.8,44.7,96.3,1.7,9.5
2012,22.6,2.4,6.8,6.7,5.7,44.3,96.4,1.8,9.1
2013,22.2,2.4,6.7,6.8,5.3,43.3,95.5,1.8,8.9
2014,21.8,2.5,6.4,6.8,5,42.4,94.4,1.8,8.6
2015,21.4,2.6,6.1,6.7,4.8,41.6,94.1,1.8,8.4
2016,21.1,2.6,5.7,6.7,4.7,40.8,93.6,1.9,8.2
2017,20.9,2.7,5.3,6.6,4.6,40.2,93.5,1.9,8
2018,20.8,2.7,4.9,6.6,4.5,39.6,93.3,1.9,7.9
2019,20.8,2.8,4.6,6.5,4.5,39.2,93.1,2,7.8
2020,20.9,2.9,4.2,6.4,4.4,38.8,92.9,2,7.7
2021,21,2.9,3.9,6.4,4.4,38.6,92.7,2.1,7.7
2022,21.1,3,3.6,6.4,4.4,38.4,92.6,2.1,7.6
2023,21.3,3,3.4,6.3,4.4,38.3,92.5,2.1,7.5
2024,21.4,3.1,3.1,6.3,4.4,38.3,92.6,2.1,7.5
2025,21.6,3.1,2.9,6.3,4.4,38.3,92.7,2.2,7.4
2026,21.7,3.2,2.7,6.3,4.4,38.3,92.9,2.2,7.3
2027,21.9,3.2,2.5,6.3,4.4,38.4,93.2,2.2,7.2
2028,22.1,3.3,2.4,6.3,4.4,38.4,93.5,2.2,7.1
2029,22.2,3.3,2.2,6.3,4.5,38.5,93.8,2.3,7
2030,22.4,3.4,2.1,6.3,4.5,38.7,94.1,2.3,6.8
