date,conversion_variable
1901,64
1902,60
1903,61
1904,65
1905,63
1906,63
1907,63
1908,59
1909,59
1910,58
1911,57
1912,51
1913,51
1914,49
1915,43
1916,42
1917,40
1918,38
1919,33
1920,29
1921,33
1922,35
1923,34
1924,34
1925,34
1926,33
1927,34
1928,34
1929,33
1930,35
1931,38
1932,41
1933,42
1934,41
1935,41
1936,40
1937,38
1938,38
1939,37
1940,35
1941,34
1942,31
1943,30
1944,30
1945,30
1946,29
1947,28
1948,26
1949,23
1950,22
1951,18
1952,15
1953,15
1954,15
1955,14
1956,14
1957,13
1958,13
1959,13
1960,12
1961,12
1962,12
1963,12
1964,12
1965,11
1966,13.14
1967,12.69
1968,12.38
1969,11.99
1970,11.59
1971,10.92
1972,10.3
1973,9.44
1974,8.18
1975,7.1
1976,6.27
1977,5.58
1978,5.17
1979,4.74
1980,4.3
1981,3.93
1982,3.53
1983,3.21
1984,3.08
1985,2.89
1986,2.65
1987,2.44
1988,2.28
1989,2.12
1990,1.97
1991,1.91
1992,1.89
1993,1.86
1994,1.82
1995,1.74
1996,1.7
1997,1.69
1998,1.68
1999,1.66
2000,1.59
2001,1.52
2002,1.47
2003,1.44
2004,1.4
2005,1.37
2006,1.32
2007,1.29
2008,1.23
2009,1.21
2010,1.18
2011,1.14
2012,1.12
2013,1.09
2014,1.07
2015,1.05
2016,1.04
2017,1.02
2018,1
