year,region,lga_code,lga_name,vifsa_district,couple_with_children,couple_without_children,one_parent_family,other_family,group_household,lone_person,all_household_types
2016,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Rural,171,215,66,3,12,205,672
2016,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Upper Yarra Valley District,34,27,8,0,1,19,90
2016,48 Regional LGAs,29399,Unincorporated Vic,VIFSA Unincorporated Vic,88,137,30,2,11,127,395
2016,48 Regional LGAs,29399,Unincorporated Vic,,88,137,30,2,11,127,395
2021,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Rural,173,232,68,3,13,223,712
2021,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Upper Yarra Valley District,29,36,8,0,2,26,101
2021,48 Regional LGAs,29399,Unincorporated Vic,VIFSA Unincorporated Vic,89,143,31,2,11,131,407
2021,48 Regional LGAs,29399,Unincorporated Vic,,89,143,31,2,11,131,407
2026,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Rural,175,247,71,4,13,242,752
2026,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Upper Yarra Valley District,26,45,9,1,2,30,113
2026,48 Regional LGAs,29399,Unincorporated Vic,VIFSA Unincorporated Vic,89,148,32,2,13,137,421
2026,48 Regional LGAs,29399,Unincorporated Vic,,89,148,32,2,13,137,421
2031,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Rural,177,259,74,4,14,262,789
2031,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Upper Yarra Valley District,23,52,7,1,3,35,122
2031,48 Regional LGAs,29399,Unincorporated Vic,VIFSA Unincorporated Vic,92,148,35,2,14,143,434
2031,48 Regional LGAs,29399,Unincorporated Vic,,92,148,35,2,14,143,434
2036,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Rural,181,268,77,4,14,281,825
2036,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Upper Yarra Valley District,22,57,8,1,3,38,130
2036,48 Regional LGAs,29399,Unincorporated Vic,VIFSA Unincorporated Vic,95,148,35,2,14,147,441
2036,48 Regional LGAs,29399,Unincorporated Vic,,95,148,35,2,14,147,441
2016,48 Regional LGAs,20110,Alpine (S),VIFSA Bright-Harrietville District,789,1165,293,14,121,1090,3473
2016,48 Regional LGAs,20110,Alpine (S),VIFSA Myrtleford District,486,684,195,24,38,680,2107
2016,48 Regional LGAs,20260,Ararat (RC),VIFSA Ararat Rural,395,542,83,5,21,433,1480
2016,48 Regional LGAs,20260,Ararat (RC),VIFSA Ararat Town,731,967,380,40,126,1127,3372
2016,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Central and East District,6221,6438,3221,287,1540,8759,26465
2016,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Rural,171,215,66,3,12,205,672
2016,48 Regional LGAs,20570,Ballarat (C),VIFSA Buninyong-Mount Helen District,1038,840,240,15,106,508,2745
