Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Primary Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
1998-01-01,610.093185430031,26.621280670166016,0.0,0.7772629725256107,1637917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-01,625.7827702752132,26.621280670166016,0.0,0.797251372941219,1640328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-01,612.5921403217432,26.621280670166016,0.0,0.7804374141656674,1642739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-01,584.3722456918822,26.621280670166016,0.0,0.7444807145810866,1645150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-01,606.8971042650318,26.621280670166016,0.0,0.7731751544792669,1647561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-01,608.6066915074922,26.621280670166016,0.0,0.7753584280848335,1649972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-01,636.8384327362361,26.621280670166016,0.0,0.8066502080714958,1652383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-01,636.8424105961226,26.621280670166016,0.0,0.8066752472462361,1654794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-01,596.3957386080781,26.621280670166016,0.0,0.7554239244566273,1657205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-01,594.3670101999498,26.621280670166016,0.0,0.7528538602623923,1659616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-01,568.6387766263725,26.621280670166016,0.0,0.7202822323952532,1662027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-01,593.1948201134558,26.621280670166016,0.0,0.75138170376178,1664438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-01,605.3940066592675,23.351999282836914,11.314876556396484,0.7821882285665479,1666850.0,0.023736528596379654,3325630.4730548314,0.0,37689.55199999994,0.0,3306707.0518667293,40346.501523529994,0.0,12128.343664571285,0.0,0.0,12.0,349.97103891761617,3.0,1.0,184.6858821444116,0.0,0.0,0.0,0.0
1999-02-01,633.7672778552904,23.351999282836914,29.625320434570312,0.8008131151085287,1669261.0,0.06022149408096245,3458633.7148568714,0.0,34042.17600000003,0.0,3349845.6789624346,108316.0124397596,0.0,30776.535454677192,0.0,0.0,12.0,33734.073791562434,65.0,9.0,1339.6796252918161,0.0,0.0,0.0,0.0
1999-03-01,604.2471250340976,23.351999282836914,6.440227508544922,0.7838285797931079,1671672.0,0.016574904693893094,3333399.528221652,0.0,37740.20999999994,0.0,3328488.6448449874,28137.003376664255,0.0,10370.399999999767,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-01,597.8968784701834,23.351999282836914,11.861642837524414,0.766647770032716,1674083.0,0.03838368237531223,3302022.3773344336,0.0,36473.759999999966,0.0,3257528.971352564,65247.24604240995,0.0,11715.27993945944,0.0,0.0,12.0,87.15544285587839,3.0,3.0,35.795097987575446,0.0,0.0,0.0,0.0
1999-05-01,633.9211473467844,23.351999282836914,6.487114906311035,0.8233964788555305,1676494.0,0.01432670041192911,3517433.4743452,0.0,37689.55199999994,0.0,3515007.941494134,25620.476851066105,0.0,10356.479999999769,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-01,719.9424624978781,23.351999282836914,32.998435974121094,0.9004971939737623,1678905.0,0.08081208386652085,3992080.6056766813,0.0,36473.759999999966,0.0,3828686.6021447773,169463.4731817203,0.0,26399.650350184056,0.0,0.0,12.0,3581.7447162582407,36.0,16.0,335.9863366236618,0.0,0.0,0.0,0.0
1999-07-01,749.1899202767356,23.351999282836914,35.19152069091797,0.9332538316393999,1681316.0,0.08754901208325654,4157795.4557257188,0.0,37689.55199999994,0.0,3970183.732870388,191873.29815858332,0.0,29289.848696747533,0.0,0.0,12.0,3264.938758655647,35.0,17.0,212.43358695510733,0.0,0.0,0.0,0.0
