Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
1998-01-01,610.3592529454197,29.58300018310547,0.0,0.7087503024373654,1637203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-01,626.0277882472619,29.58300018310547,0.0,0.7269447149012623,1639686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-01,612.8047722250268,29.58300018310547,0.0,0.7115899656152457,1642169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-01,584.5491933855916,29.58300018310547,0.0,0.6787795384023693,1644652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-01,607.0540666065623,29.58300018310547,0.0,0.7049122362652281,1647135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-01,608.7372955435743,29.58300018310547,0.0,0.7068668046297552,1649618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-01,636.9471357985983,29.58300018310547,0.0,0.7353672994889504,1652101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-01,636.9232387113619,29.58300018310547,0.0,0.7353397908423476,1654584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-01,596.4454062509241,29.58300018310547,0.0,0.6886073762495991,1657067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-01,594.3906480672472,29.58300018310547,0.0,0.6862351194984189,1659550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-01,568.6367238195631,29.58300018310547,0.0,0.6565016600022237,1662033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-01,593.1670227261258,29.58300018310547,0.0,0.6848224211578308,1664516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-01,605.3395320935813,29.736000061035156,11.396997451782227,0.7821178457025497,1667000.0,0.023736528596379654,3325630.4730548314,0.0,37689.55199999994,0.0,3306707.0518667293,40346.501523529994,0.0,12128.343664571285,0.0,0.0,12.0,349.97103891761617,3.0,1.0,184.6858821444116,0.0,0.0,0.0,0.0
1999-02-01,633.7418410282461,29.736000061035156,29.74370574951172,0.8007809737446312,1669328.0,0.06022149408096245,3458633.7148568714,0.0,34042.17600000003,0.0,3349845.6789624346,108316.0124397596,0.0,30776.535454677192,0.0,0.0,12.0,33734.073791562434,65.0,9.0,1339.6796252918161,0.0,0.0,0.0,0.0
1999-03-01,604.2529084931349,29.736000061035156,6.460788249969482,0.7838360820886022,1671656.0,0.016574904693893094,3333399.528221652,0.0,37740.20999999994,0.0,3328488.6448449874,28137.003376664255,0.0,10370.399999999767,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-01,597.9322383009635,29.736000061035156,11.982610702514648,0.7666931098503208,1673984.0,0.03838368237531223,3302022.3773344336,0.0,36473.759999999966,0.0,3257528.971352564,65247.24604240995,0.0,11715.27993945944,0.0,0.0,12.0,87.15544285587839,3.0,3.0,35.795097987575446,0.0,0.0,0.0,0.0
1999-05-01,633.9899732269411,29.736000061035156,6.506148815155029,0.8234858763896122,1676312.0,0.01432670041192911,3517433.4743452,0.0,37689.55199999994,0.0,3515007.941494134,25620.476851066105,0.0,10356.479999999769,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-01,720.0561168565029,29.736000061035156,33.22703170776367,0.9006393517660245,1678640.0,0.08081208386652085,3992080.6056766813,0.0,36473.759999999966,0.0,3828686.6021447773,169463.4731817203,0.0,26399.650350184056,0.0,0.0,12.0,3581.7447162582407,36.0,16.0,335.9863366236618,0.0,0.0,0.0,0.0
1999-07-01,749.3450202502368,29.736000061035156,35.35504150390625,0.933447037181332,1680968.0,0.08754901208325654,4157795.4557257188,0.0,37689.55199999994,0.0,3970183.732870388,191873.29815858332,0.0,29289.848696747533,0.0,0.0,12.0,3264.938758655647,35.0,17.0,212.43358695510733,0.0,0.0,0.0,0.0
1999-08-01,743.6446115240576,29.736000061035156,28.45171546936035,0.9299497577332217,1683296.0,0.0818136629056604,4133400.1685868697,0.0,37689.55199999994,0.0,3964516.639428418,177727.03639236707,0.0,24707.9167660851,0.0,0.0,12.0,1490.2387881245672,21.0,13.0,155.58710767509183,0.0,0.0,0.0,0.0
1999-09-01,684.7665908885967,29.736000061035156,10.475152969360352,0.8777084991442479,1685624.0,0.04019528890925298,3811056.237851563,0.0,36473.759999999966,0.0,3754191.4211837864,78830.10552765729,0.0,10503.831140118571,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-01,682.6633695744903,29.736000061035156,8.837078094482422,0.881234048482063,1687952.0,0.026719628153074052,3803371.1059999964,0.0,37638.893999999935,0.0,3774580.8081875215,51954.06581247525,0.0,10342.55999999977,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-01,646.9999053411269,29.736000061035156,9.904553413391113,0.8361574475511447,1690280.0,0.02375668857744183,3608119.9399142982,0.0,36473.759999999966,0.0,3584577.359406394,43764.01429668538,0.0,12247.686211218934,0.0,0.0,11.0,775.8816748967074,5.0,0.0,276.46972557912113,0.0,0.0,0.0,0.0
1999-12-01,671.5299703179945,14.142757415771484,19.307788848876953,0.8555536686316758,1692608.0,0.04768342159656685,3734982.134951652,0.0,37689.55199999994,0.0,3652847.1996563557,92042.74372307719,0.0,23643.61557221932,0.0,0.0,28.0,16118.291173341971,42.0,5.0,1128.8950603794297,0.0,0.0,0.0,0.0
2000-01-01,653.8672346300323,14.142757415771484,14.984926223754883,0.8381165736217008,1694945.0,0.037713760565873014,3652519.6451345375,0.0,37689.55199999994,0.0,3597054.934698906,70843.69188167983,0.0,18172.44255395189,0.0,0.0,28.0,4020.1615382655955,21.0,5.0,467.14375266299294,0.0,0.0,0.0,0.0
2000-02-01,689.5511572348905,14.142757415771484,46.03242874145508,0.8577416354169762,1697365.0,0.08483553097991896,3820101.6228776895,0.0,35257.96799999999,0.0,3634054.3619701467,170608.35873923157,0.0,46825.7181683112,0.0,0.0,28.0,46040.07538793409,108.0,14.0,1147.6979455704682,0.0,0.0,0.0,0.0
2000-03-01,720.0787158375912,14.142757415771484,24.079078674316406,0.9065187441448923,1699785.0,0.06957002894699955,4029510.974725411,0.0,37740.20999999994,0.0,3891188.5830312357,146428.78025180474,0.0,25490.131442370028,0.0,0.0,33.0,20581.81007793178,44.0,5.0,1518.3392488366935,0.0,0.0,0.0,0.0
2000-04-01,643.2251109590208,14.142757415771484,8.264283180236816,0.8247315507604002,1702205.0,0.028543544925668192,3613196.2400000035,0.0,36473.759999999966,0.0,3582859.5405543083,52783.41944569551,0.0,10022.39999999981,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,746.8862653076189,14.142757415771484,36.232181549072266,0.9224027843840082,1704625.0,0.0908595252064523,4193985.3479848495,0.0,37689.55199999994,0.0,3989739.1980193276,201196.29171703506,0.0,36601.282248486845,0.0,0.0,50.0,17373.905100490567,70.0,17.0,827.7199950274044,0.0,0.0,0.0,0.0
2000-06-01,732.8137219581206,14.142757415771484,53.296993255615234,0.8980652198523975,1707045.0,0.1000566190354766,4117805.675828294,0.0,36473.759999999966,0.0,3878791.6289967448,218565.70479901365,0.0,52917.46203253549,0.0,0.0,57.0,15540.122915305426,95.0,20.0,593.0637891489991,0.0,0.0,0.0,0.0
2000-07-01,742.8938293559681,14.142757415771484,41.291908264160156,0.9171002703608205,1709465.0,0.09001404250752097,4187333.7007674384,0.0,37689.55199999994,0.0,3978861.1645662547,198922.36984767218,0.0,43101.5903535112,0.0,0.0,59.0,8145.909654219743,73.0,19.0,470.0701359636623,0.0,0.0,0.0,0.0
2000-08-01,738.7943699489159,14.142757415771484,32.084781646728516,0.9138274536874255,1711885.0,0.08941070914970721,4177970.0894534374,0.0,37638.893999999935,0.0,3983193.4896753724,197086.36223130883,0.0,31196.56554675632,0.0,0.0,61.0,3243.730619980632,37.0,14.0,304.63753338702463,0.0,0.0,0.0,0.0
2000-09-01,669.4899682378573,14.142757415771484,14.317023277282715,0.8484493446814821,1714305.0,0.049369411920736184,3788311.2398075196,0.0,36473.759999999966,0.0,3709115.880094794,96701.89762979925,0.0,14962.582082926709,0.0,0.0,61.0,914.9857393522393,11.0,9.0,158.63802217484226,0.0,0.0,0.0,0.0
2000-10-01,684.9396379734669,14.142757415771484,9.148133277893066,0.8727616111671294,1716725.0,0.040302284661868054,3881817.0147755756,0.0,37689.55199999994,0.0,3823600.1649583727,80521.75197254858,0.0,11246.521844654495,0.0,0.0,61.0,2.9526105553713933,1.0,1.0,2.9526105553713933,0.0,0.0,0.0,0.0
2000-11-01,657.7246247407868,14.142757415771484,10.722917556762695,0.8343992212167531,1719145.0,0.04795836516360974,3731003.024223437,0.0,36473.759999999966,0.0,3658192.033717426,92462.1525251784,0.0,12817.957980832474,0.0,0.0,62.0,1603.2106984437628,7.0,1.0,439.8340076019199,0.0,0.0,0.0,0.0
2000-12-01,659.8513561788257,19.923521041870117,21.218006134033203,0.8329810927773315,1721565.0,0.05353680504928379,3738702.6508343206,0.0,37689.55199999994,0.0,3643044.56541802,103754.55930770109,0.0,25454.950108599507,0.0,0.0,60.0,10197.605419171563,40.0,6.0,661.3550124459084,0.0,0.0,0.0,0.0
2001-01-01,699.9860208249105,19.923521041870117,29.398502349853516,0.876530214072716,1723993.0,0.06650480105086728,3965426.5947787873,0.0,37689.55199999994,0.0,3827316.551538333,137549.46880148497,0.0,34111.998438970164,0.0,0.0,60.0,19453.79492043425,61.0,10.0,974.2526801485096,0.0,0.0,0.0,0.0
2001-02-01,676.68630745626,19.923521041870117,54.063053131103516,0.8295385067932011,1726509.0,0.09568084249082986,3778722.8536377964,0.0,34042.17600000003,0.0,3554317.7218158776,191381.23248812387,0.0,63328.41133379556,0.0,0.0,60.0,81584.72478567452,146.0,15.0,1697.8068928048333,0.0,0.0,0.0,0.0
2001-03-01,708.1216292419138,19.923521041870117,25.05743408203125,0.8842988930409361,1729025.0,0.07246405509433776,4034086.001872933,0.0,37740.20999999994,0.0,3884250.249473248,152921.02393748163,0.0,30511.248462203992,0.0,0.0,60.0,14536.323170490801,45.0,6.0,810.4015496106135,0.0,0.0,0.0,0.0
2001-04-01,665.5129737037702,19.923521041870117,13.6505708694458,0.8372560804948499,1731541.0,0.05810530970945109,3802825.795447749,0.0,47770.55999999979,0.0,3706998.1918595526,114783.48324817966,0.0,14312.440340016186,0.0,0.0,60.0,296.65487522937065,4.0,3.0,182.5221276305324,0.0,0.0,0.0,0.0
