Year,Entity,Code,Per capita CO2 emissions
1851,Australia,AUS,0
1852,Australia,AUS,0
1853,Australia,AUS,0
1854,Australia,AUS,0
1855,Australia,AUS,0
1856,Australia,AUS,0
1857,Australia,AUS,0
1858,Australia,AUS,0
1859,Australia,AUS,0
1860,Australia,AUS,0.221698534
1861,Australia,AUS,0.389655719
1862,Australia,AUS,0.261560393
1863,Australia,AUS,0.283391306
1864,Australia,AUS,0.183422871
1865,Australia,AUS,0.279922273
1866,Australia,AUS,0.449027138
1867,Australia,AUS,0.560612825
1868,Australia,AUS,0.447399976
1869,Australia,AUS,0.381566733
1870,Australia,AUS,0.348504506
1871,Australia,AUS,0.391422457
1872,Australia,AUS,0.389195996
1873,Australia,AUS,0.466844939
1874,Australia,AUS,0.466091141
1875,Australia,AUS,0.421867772
1876,Australia,AUS,0.46124163
1877,Australia,AUS,0.518050712
1878,Australia,AUS,0.45702104
1879,Australia,AUS,0.667568012
1880,Australia,AUS,0.979015156
1881,Australia,AUS,0.761041262
1882,Australia,AUS,0.837902943
1883,Australia,AUS,0.976871489
1884,Australia,AUS,1.003569283
1885,Australia,AUS,1.096294474
1886,Australia,AUS,1.054233721
1887,Australia,AUS,1.071867382
1888,Australia,AUS,1.208301743
1889,Australia,AUS,1.139484241
1890,Australia,AUS,1.148259134
1891,Australia,AUS,1.265157031
1892,Australia,AUS,1.279184933
1893,Australia,AUS,1.194546925
1894,Australia,AUS,1.286967599
1895,Australia,AUS,1.329396775
1896,Australia,AUS,1.280685663
1897,Australia,AUS,1.391524577
1898,Australia,AUS,1.5453208
1899,Australia,AUS,1.568640721
1900,Australia,AUS,2.715917672
1901,Australia,AUS,3.011388194
1902,Australia,AUS,2.958217755
1903,Australia,AUS,2.872264362
1904,Australia,AUS,2.91369306
1905,Australia,AUS,2.995148981
1906,Australia,AUS,3.513503012
1907,Australia,AUS,3.739282269
1908,Australia,AUS,3.976756743
1909,Australia,AUS,3.383597556
1910,Australia,AUS,3.955570155
1911,Australia,AUS,4.258202051
1912,Australia,AUS,4.45356923
1913,Australia,AUS,4.653208462
1914,Australia,AUS,4.980021068
1915,Australia,AUS,4.393559048
1916,Australia,AUS,3.880832281
1917,Australia,AUS,4.163213035
1918,Australia,AUS,4.528284725
1919,Australia,AUS,4.178707126
1920,Australia,AUS,4.813886115
1921,Australia,AUS,4.230664696
1922,Australia,AUS,4.358133048
1923,Australia,AUS,4.355463555
1924,Australia,AUS,4.644363696
1925,Australia,AUS,4.744536474
1926,Australia,AUS,4.585582685
1927,Australia,AUS,4.664349852
1928,Australia,AUS,4.168727947
1929,Australia,AUS,3.695977485
1930,Australia,AUS,3.402758132
1931,Australia,AUS,2.990994957
1932,Australia,AUS,3.087204749
1933,Australia,AUS,3.249594886
1934,Australia,AUS,3.391732088
1935,Australia,AUS,3.741622373
1936,Australia,AUS,3.980307763
1937,Australia,AUS,4.210494113
1938,Australia,AUS,4.053826858
1939,Australia,AUS,4.602884243
1940,Australia,AUS,4.11769297
1941,Australia,AUS,4.852212237
1942,Australia,AUS,5.080884885
1943,Australia,AUS,4.825944822
1944,Australia,AUS,4.6718141
1945,Australia,AUS,4.417082406
1946,Australia,AUS,4.72799144
1947,Australia,AUS,5.001513583
1948,Australia,AUS,4.958043718
1949,Australia,AUS,4.735968626
1950,Australia,AUS,6.694221964
1951,Australia,AUS,7.028980233
1952,Australia,AUS,7.004229319
1953,Australia,AUS,6.767777613
1954,Australia,AUS,7.562827425
1955,Australia,AUS,7.710470325
1956,Australia,AUS,7.792309966
1957,Australia,AUS,7.772647335
1958,Australia,AUS,7.911943215
1959,Australia,AUS,8.346610529
1960,Australia,AUS,8.603680922
1961,Australia,AUS,8.663976259
1962,Australia,AUS,8.909466786
1963,Australia,AUS,9.306986077
1964,Australia,AUS,9.839653592
1965,Australia,AUS,10.6826367
1966,Australia,AUS,10.36999068
1967,Australia,AUS,10.85245479
1968,Australia,AUS,11.00989686
1969,Australia,AUS,11.35264813
1970,Australia,AUS,11.52816142
1971,Australia,AUS,11.7110056
1972,Australia,AUS,11.87976027
1973,Australia,AUS,12.71794178
1974,Australia,AUS,12.655401
1975,Australia,AUS,12.75785421
1976,Australia,AUS,12.49100868
1977,Australia,AUS,13.3119184
1978,Australia,AUS,14.16381353
1979,Australia,AUS,14.21422154
1980,Australia,AUS,15.11728825
1981,Australia,AUS,15.57370529
1982,Australia,AUS,15.61443661
1983,Australia,AUS,14.793354
1984,Australia,AUS,15.325241
1985,Australia,AUS,15.38482967
1986,Australia,AUS,15.05982027
1987,Australia,AUS,15.80981425
1988,Australia,AUS,15.85696548
1989,Australia,AUS,16.60198684
1990,Australia,AUS,16.41558045
1991,Australia,AUS,16.28207924
1992,Australia,AUS,16.37239616
1993,Australia,AUS,16.43101664
1994,Australia,AUS,16.51862245
1995,Australia,AUS,16.97383243
1996,Australia,AUS,17.17310385
1997,Australia,AUS,17.44684212
1998,Australia,AUS,18.00637639
1999,Australia,AUS,18.31295327
2000,Australia,AUS,18.44005181
2001,Australia,AUS,18.63345574
2002,Australia,AUS,18.6696328
2003,Australia,AUS,18.84050234
2004,Australia,AUS,19.27591157
2005,Australia,AUS,19.15424223
2006,Australia,AUS,19.1308899
2007,Australia,AUS,19.11658352
2008,Australia,AUS,18.95825084
2009,Australia,AUS,18.73308482
2010,Australia,AUS,18.30299251
2011,Australia,AUS,17.93294689
2012,Australia,AUS,17.74826415
2013,Australia,AUS,17.11215562
2014,Australia,AUS,16.70269927
2015,Australia,AUS,16.77898868
2016,Australia,AUS,16.94067226
2017,Australia,AUS,16.88417442
2018,Australia,AUS,16.70631966
2019,Australia,AUS,16.30820406
