C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,NEMMCO,PUBLIC,2012/01/09,12:10:29,0000000234000629,,0000000234000625
I,CO2EII,PUBLISHING,1,CONTRACTYEAR,WEEKNO,SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/19 00:00:00",NEM,517176.92329039,478873.84770335,0.9259
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/19 00:00:00",NSW1,184666.51280201,175774.74084255,0.9518
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/19 00:00:00",QLD1,131836.34116538,109354.07016,0.8295
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/19 00:00:00",SA1,38286.094463,15875.88265684,0.4147
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/19 00:00:00",TAS1,28557.118183,3466.79513577,0.1214
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/19 00:00:00",VIC1,133830.856677,174402.35890819,1.3032
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/20 00:00:00",NEM,575680.16621748,509137.69533279,0.8844
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/20 00:00:00",NSW1,207247.719879,193370.75365247,0.933
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/20 00:00:00",QLD1,148345.48596997,122438.48860244,0.8254
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/20 00:00:00",SA1,42221.192804,17060.18807774,0.4041
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/20 00:00:00",TAS1,37618.7583665,2761.75972222,0.0734
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/20 00:00:00",VIC1,140247.00919801,173506.50527792,1.2371
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/21 00:00:00",NEM,590932.00083216,513318.08320331,0.8687
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/21 00:00:00",NSW1,211469.45539932,197300.27725653,0.933
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/21 00:00:00",QLD1,151256.56099182,125876.97778281,0.8322
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/21 00:00:00",SA1,43126.950435,17777.81962074,0.4122
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/21 00:00:00",TAS1,40008.468342,2794.10415043,0.0698
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/21 00:00:00",VIC1,145070.56566402,169568.9043928,1.1689
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/22 00:00:00",NEM,595850.57412776,518939.931877,0.8709
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/22 00:00:00",NSW1,217346.74863324,200832.36236854,0.924
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/22 00:00:00",QLD1,149393.09117553,124469.27824057,0.8332
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/22 00:00:00",SA1,42414.793859,19019.68793796,0.4484
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/22 00:00:00",TAS1,41547.637396,2888.38481066,0.0695
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/22 00:00:00",VIC1,145148.30306399,171730.21851927,1.1831
D,CO2EII,PUBLISHING,1,2011,26,"2011/06/23 00:00:00",NEM,584497.89046196,526601.9893806,0.9009
