C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR_2014_PT1,AEMO,PUBLIC,2015/01/05,12:00:47,0000000257828796,,0000000257828790
I,CO2EII,PUBLISHING,1,CONTRACTYEAR,WEEKNO,SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/29 00:00:00",NEM,444578.09464296,381853.07443413,0.8589
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/29 00:00:00",NSW1,129208.211842,108230.26055409,0.8376
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/29 00:00:00",QLD1,139249.10051197,116907.12659095,0.8396
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/29 00:00:00",SA1,26328.564744,10532.12089022,0.40
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/29 00:00:00",TAS1,33030.713272,2089.38212151,0.0633
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/29 00:00:00",VIC1,116761.50427299,144094.18427736,1.2341
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/30 00:00:00",NEM,465362.87745898,403058.92321552,0.8661
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/30 00:00:00",NSW1,144230.68396299,121031.83892004,0.8392
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/30 00:00:00",QLD1,137854.378473,115118.71038968,0.8351
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/30 00:00:00",SA1,23046.439031,12763.53924969,0.5538
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/30 00:00:00",TAS1,36325.046123,2090.03353026,0.0575
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/30 00:00:00",VIC1,123906.32986899,152054.80112585,1.2272
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/31 00:00:00",NEM,468500.99372324,409042.68877746,0.8731
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/31 00:00:00",NSW1,146547.644940,122507.70840850,0.8360
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/31 00:00:00",QLD1,136889.12398825,117321.93767059,0.8571
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/31 00:00:00",SA1,29868.884825,17301.23310268,0.5792
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/31 00:00:00",TAS1,35614.59786501,2074.66371923,0.0583
D,CO2EII,PUBLISHING,1,2014,1,"2013/12/31 00:00:00",VIC1,119580.74210498,149837.14587646,1.2530
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/01 00:00:00",NEM,450384.87068929,390570.77310662,0.8672
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/01 00:00:00",NSW1,131017.333889,121390.75844426,0.9265
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/01 00:00:00",QLD1,133531.84816730,114489.12617339,0.8574
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/01 00:00:00",SA1,36079.62497299,15677.32381696,0.4345
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/01 00:00:00",TAS1,32065.025752,2083.51048444,0.0650
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/01 00:00:00",VIC1,117691.037908,136930.05418757,1.1635
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/02 00:00:00",NEM,493326.46777487,441786.26900746,0.8955
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/02 00:00:00",NSW1,162191.222051,147955.33967314,0.9122
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/02 00:00:00",QLD1,145651.47000787,123158.55017291,0.8456
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/02 00:00:00",SA1,30904.035510,13787.90508085,0.4462
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/02 00:00:00",TAS1,32312.014818,2085.69426063,0.0645
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/02 00:00:00",VIC1,122267.725388,154798.77981993,1.2661
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/03 00:00:00",NEM,504180.02583011,438857.44541873,0.8704
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/03 00:00:00",NSW1,164343.30001201,152990.48568056,0.9309
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/03 00:00:00",QLD1,155482.22720608,129258.88210025,0.8313
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/03 00:00:00",SA1,33533.848857,12351.19222009,0.3683
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/03 00:00:00",TAS1,33354.738640,2088.81645907,0.0626
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/03 00:00:00",VIC1,117465.91111502,142168.06895876,1.2103
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/04 00:00:00",NEM,481795.39226258,411918.94298251,0.8550
D,CO2EII,PUBLISHING,1,2014,1,"2014/01/04 00:00:00",NSW1,148016.21012999,135187.856171,0.9133
