C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,05/01/2016,10:59:34,267518457,,267518454,
I,CO2EII,PUBLISHING,1,CONTRACTYEAR,WEEKNO,SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
D,CO2EII,PUBLISHING,1,2015,1,28/12/2014 00:00,NEM,435996.1105,426437.944,0.9781
D,CO2EII,PUBLISHING,1,2015,1,28/12/2014 00:00,NSW1,111297.8844,100970.2381,0.9072
D,CO2EII,PUBLISHING,1,2015,1,28/12/2014 00:00,QLD1,152088.4254,133888.9458,0.8803
D,CO2EII,PUBLISHING,1,2015,1,28/12/2014 00:00,SA1,20198.80694,10277.99395,0.5088
D,CO2EII,PUBLISHING,1,2015,1,28/12/2014 00:00,TAS1,14055.73182,2.1154415,0.0002
D,CO2EII,PUBLISHING,1,2015,1,28/12/2014 00:00,VIC1,138355.262,181298.6508,1.3104
D,CO2EII,PUBLISHING,1,2015,1,29/12/2014 00:00,NEM,472198.9571,419880.3731,0.8892
D,CO2EII,PUBLISHING,1,2015,1,29/12/2014 00:00,NSW1,127592.454,111120.1332,0.8709
D,CO2EII,PUBLISHING,1,2015,1,29/12/2014 00:00,QLD1,158346.6242,139515.4742,0.8811
D,CO2EII,PUBLISHING,1,2015,1,29/12/2014 00:00,SA1,32940.77438,8309.227174,0.2522
D,CO2EII,PUBLISHING,1,2015,1,29/12/2014 00:00,TAS1,17766.99725,2.18055565,0.0001
D,CO2EII,PUBLISHING,1,2015,1,29/12/2014 00:00,VIC1,135552.1073,160933.358,1.1872
D,CO2EII,PUBLISHING,1,2015,1,30/12/2014 00:00,NEM,486631.91,440688.243,0.9056
D,CO2EII,PUBLISHING,1,2015,1,30/12/2014 00:00,NSW1,133436.0087,113407.253,0.8499
D,CO2EII,PUBLISHING,1,2015,1,30/12/2014 00:00,QLD1,168548.3261,147101.4091,0.8728
D,CO2EII,PUBLISHING,1,2015,1,30/12/2014 00:00,SA1,25910.29436,10534.3935,0.4066
D,CO2EII,PUBLISHING,1,2015,1,30/12/2014 00:00,TAS1,16985.03206,2.10761171,0.0001
D,CO2EII,PUBLISHING,1,2015,1,30/12/2014 00:00,VIC1,141752.2488,169643.0797,1.1968
D,CO2EII,PUBLISHING,1,2015,1,31/12/2014 00:00,NEM,478246.0844,460769.3417,0.9635
D,CO2EII,PUBLISHING,1,2015,1,31/12/2014 00:00,NSW1,131161.9012,113830.0384,0.8679
D,CO2EII,PUBLISHING,1,2015,1,31/12/2014 00:00,QLD1,172050.7367,150477.2695,0.8746
D,CO2EII,PUBLISHING,1,2015,1,31/12/2014 00:00,SA1,19791.09529,13353.23527,0.6747
D,CO2EII,PUBLISHING,1,2015,1,31/12/2014 00:00,TAS1,15352.83806,2.10152868,0.0001
D,CO2EII,PUBLISHING,1,2015,1,31/12/2014 00:00,VIC1,139889.5131,183106.697,1.3089
D,CO2EII,PUBLISHING,1,2015,1,01/01/2015 00:00,NEM,477475.8755,444620.3569,0.9312
D,CO2EII,PUBLISHING,1,2015,1,01/01/2015 00:00,NSW1,134533.3203,113619.7216,0.8445
D,CO2EII,PUBLISHING,1,2015,1,01/01/2015 00:00,QLD1,162723.1412,140410.4662,0.8629
D,CO2EII,PUBLISHING,1,2015,1,01/01/2015 00:00,SA1,28239.80165,17266.49091,0.6114
D,CO2EII,PUBLISHING,1,2015,1,01/01/2015 00:00,TAS1,18188.65593,2.10315491,0.0001
D,CO2EII,PUBLISHING,1,2015,1,01/01/2015 00:00,VIC1,133790.9565,173321.575,1.2955
D,CO2EII,PUBLISHING,1,2015,1,02/01/2015 00:00,NEM,533685.2756,472317.5742,0.885
D,CO2EII,PUBLISHING,1,2015,1,02/01/2015 00:00,NSW1,154725.0609,129320.5992,0.8358
D,CO2EII,PUBLISHING,1,2015,1,02/01/2015 00:00,QLD1,162704.7813,140675.6123,0.8646
D,CO2EII,PUBLISHING,1,2015,1,02/01/2015 00:00,SA1,45491.17358,26541.2873,0.5834
