C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,AEMO,PUBLIC,08/01/2018,12:43:12,290862395,,290862390,
I,CO2EII,PUBLISHING,1,CONTRACTYEAR,WEEKNO,SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
D,CO2EII,PUBLISHING,1,2017,1,01/01/2017 00:00,NEM,469373.7929,449971.6522,0.9587
D,CO2EII,PUBLISHING,1,2017,1,01/01/2017 00:00,NSW1,151529.6112,144823.3589,0.9557
D,CO2EII,PUBLISHING,1,2017,1,01/01/2017 00:00,QLD1,161688.4729,140939.8928,0.8717
D,CO2EII,PUBLISHING,1,2017,1,01/01/2017 00:00,SA1,19099.39327,3584.376722,0.1877
D,CO2EII,PUBLISHING,1,2017,1,01/01/2017 00:00,TAS1,13988.17438,2.03153651,0.0001
D,CO2EII,PUBLISHING,1,2017,1,01/01/2017 00:00,VIC1,123068.1412,160621.9924,1.3051
D,CO2EII,PUBLISHING,1,2017,1,02/01/2017 00:00,NEM,461920.1854,435811.2298,0.9435
D,CO2EII,PUBLISHING,1,2017,1,02/01/2017 00:00,NSW1,143892.1053,134772.176,0.9366
D,CO2EII,PUBLISHING,1,2017,1,02/01/2017 00:00,QLD1,158824.1011,139890.1884,0.8808
D,CO2EII,PUBLISHING,1,2017,1,02/01/2017 00:00,SA1,19852.47716,2398.294434,0.1208
D,CO2EII,PUBLISHING,1,2017,1,02/01/2017 00:00,TAS1,13004.02112,2.02688882,0.0002
D,CO2EII,PUBLISHING,1,2017,1,02/01/2017 00:00,VIC1,126347.4808,158748.5441,1.2564
D,CO2EII,PUBLISHING,1,2017,1,03/01/2017 00:00,NEM,479993.8722,450540.5079,0.9386
D,CO2EII,PUBLISHING,1,2017,1,03/01/2017 00:00,NSW1,145360.9237,130577.0087,0.8983
D,CO2EII,PUBLISHING,1,2017,1,03/01/2017 00:00,QLD1,164855.9945,145868.9046,0.8848
D,CO2EII,PUBLISHING,1,2017,1,03/01/2017 00:00,SA1,23461.93638,4032.268343,0.1719
D,CO2EII,PUBLISHING,1,2017,1,03/01/2017 00:00,TAS1,14186.74836,463.4624111,0.0327
D,CO2EII,PUBLISHING,1,2017,1,03/01/2017 00:00,VIC1,132128.2693,169598.8638,1.2836
D,CO2EII,PUBLISHING,1,2017,1,04/01/2017 00:00,NEM,498379.0038,470967.5629,0.945
D,CO2EII,PUBLISHING,1,2017,1,04/01/2017 00:00,NSW1,154340.6463,141436.3389,0.9164
D,CO2EII,PUBLISHING,1,2017,1,04/01/2017 00:00,QLD1,158871.7474,142054.0136,0.8941
D,CO2EII,PUBLISHING,1,2017,1,04/01/2017 00:00,SA1,29190.13008,9463.817135,0.3242
D,CO2EII,PUBLISHING,1,2017,1,04/01/2017 00:00,TAS1,16338.83282,979.9842076,0.06
D,CO2EII,PUBLISHING,1,2017,1,04/01/2017 00:00,VIC1,139637.6472,177033.4091,1.2678
D,CO2EII,PUBLISHING,1,2017,1,05/01/2017 00:00,NEM,520025.5399,486978.9785,0.9365
D,CO2EII,PUBLISHING,1,2017,1,05/01/2017 00:00,NSW1,163168.8283,154687.0123,0.948
D,CO2EII,PUBLISHING,1,2017,1,05/01/2017 00:00,QLD1,157789.6409,140408.1042,0.8898
D,CO2EII,PUBLISHING,1,2017,1,05/01/2017 00:00,SA1,34435.60467,12166.85061,0.3533
D,CO2EII,PUBLISHING,1,2017,1,05/01/2017 00:00,TAS1,19711.63475,932.9317521,0.0473
D,CO2EII,PUBLISHING,1,2017,1,05/01/2017 00:00,VIC1,144919.8312,178784.0797,1.2337
D,CO2EII,PUBLISHING,1,2017,1,06/01/2017 00:00,NEM,540701.3713,496107.6929,0.9175
D,CO2EII,PUBLISHING,1,2017,1,06/01/2017 00:00,NSW1,168203.3083,157458.7803,0.9361
D,CO2EII,PUBLISHING,1,2017,1,06/01/2017 00:00,QLD1,162039.2467,141890.0676,0.8757
D,CO2EII,PUBLISHING,1,2017,1,06/01/2017 00:00,SA1,39440.54032,16763.90873,0.425
D,CO2EII,PUBLISHING,1,2017,1,06/01/2017 00:00,TAS1,20798.68643,845.9426165,0.0407
D,CO2EII,PUBLISHING,1,2017,1,06/01/2017 00:00,VIC1,150219.5896,179148.9938,1.1926
D,CO2EII,PUBLISHING,1,2017,1,07/01/2017 00:00,NEM,521240.2452,468694.9544,0.8992
D,CO2EII,PUBLISHING,1,2017,1,07/01/2017 00:00,NSW1,156733.6819,145257.7297,0.9268
D,CO2EII,PUBLISHING,1,2017,1,07/01/2017 00:00,QLD1,155793.5427,137453.3684,0.8823
D,CO2EII,PUBLISHING,1,2017,1,07/01/2017 00:00,SA1,39097.62341,14438.21326,0.3693
D,CO2EII,PUBLISHING,1,2017,1,07/01/2017 00:00,TAS1,20775.51414,323.2571074,0.0156
D,CO2EII,PUBLISHING,1,2017,1,07/01/2017 00:00,VIC1,148839.8831,171222.386,1.1504
