C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,AEMO,PUBLIC,2020/01/06,13:09:10,0000000317403708,,0000000317403703
I,CO2EII,PUBLISHING,1,CONTRACTYEAR,WEEKNO,SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/30 00:00:00",NEM,492117.77353267,394518.13494973,0.8017
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/30 00:00:00",NSW1,181195.52481599,148915.91743147,0.8219
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/30 00:00:00",QLD1,158944.93735067,126507.52231957,0.7959
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/30 00:00:00",SA1,19902.035137,3931.43198057,0.1975
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/30 00:00:00",TAS1,23854.898183,31.30458003,0.0013
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/30 00:00:00",VIC1,108220.37804601,115131.95863809,1.0639
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/31 00:00:00",NEM,500135.86655696,403455.54583792,0.8067
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/31 00:00:00",NSW1,185398.67776299,154993.98031533,0.8360
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/31 00:00:00",QLD1,160415.42454899,127639.89961431,0.7957
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/31 00:00:00",SA1,21456.596519,4805.84581146,0.2240
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/31 00:00:00",TAS1,23022.834932,132.11791079,0.0057
D,CO2EII,PUBLISHING,1,2019,1,"2018/12/31 00:00:00",VIC1,109842.33279398,115883.70218603,1.0550
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/01 00:00:00",NEM,492431.64234067,393949.28076184,0.80
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/01 00:00:00",NSW1,179631.326926,150986.16737746,0.8405
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/01 00:00:00",QLD1,157711.69670167,123211.63335395,0.7812
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/01 00:00:00",SA1,26981.103649,5820.32988556,0.2157
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/01 00:00:00",TAS1,20605.054665,217.69659567,0.0106
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/01 00:00:00",VIC1,107502.460399,113713.45354920,1.0578
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/02 00:00:00",NEM,524981.12360133,411523.90772028,0.7839
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/02 00:00:00",NSW1,187540.988504,156163.68864380,0.8327
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/02 00:00:00",QLD1,167946.79903133,129781.10524826,0.7728
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/02 00:00:00",SA1,33354.290740,8705.16841593,0.2610
D,CO2EII,PUBLISHING,1,2019,1,"2019/01/02 00:00:00",TAS1,20637.627053,399.72639286,0.0194
