inputs,GHGE-M,GHGE-S,Primary Spot Wholesale prices-M,Primary Spot Wholesale prices-S,Tariffs-M,Tariffs-S,Renewable energy-M,Renewable energy-S
annualCpi,,,,,,,,
annualInflation,,,,,,,,
consumption,,10,,11,,13,,
domesticConsumptionPercentage,1,2,,14,,16,,
energyEfficiency,,,15,,,,,
generationRolloutPeriod,,3,5,5,6,6,4,2
generatorRetirement,,13,,,,,,
importPriceFactor,,,2,4,3,3,,
includePublicallyAnnouncedGen,,6,,7,,5,,4
learningCurve,,11,,15,7,8,,9
nameplateCapacityChangeBattery,,,,3,,11,,
nameplateCapacityChangeBrownCoal,2,1,1,1,1,1,1,1
nameplateCapacityChangeCcgt,,,,,,,,
nameplateCapacityChangeOcgt,,,,13,,12,,11
nameplateCapacityChangeSolar,,,,,,,,
nameplateCapacityChangeWater,,9,6,10,9,10,3,3
nameplateCapacityChangeWind,3,4,3,2,5,4,2,5
nonScheduleGenSpotMarket,,12,,12,,14,,10
nonScheduleMinCapMarketGen,,,,,,,,
onsiteGeneration,,,,,,,,
priceChangePercentageBattery,,,7,6,,14,,
priceChangePercentageBrownCoal,,8,,,,,,8
priceChangePercentageCcgt,,,,,,,,
priceChangePercentageOcgt,,,4,9,4,7,,
priceChangePercentageSolar,,,,,,,,
priceChangePercentageWater,,7,,,,,,7
priceChangePercentageWind,,,,,,15,,
rooftopPV,,,,,,,,
scheduleMinCapMarketGen,,,,,,,,
semiScheduleGenSpotMarket,,5,,8,8,9,,6
semiScheduleMinCapMarketGen,,,,,,,,
solarUptake,,,,,,,,
technologicalImprovement,,,,,,17,,
wholesaleTariffContribution,,,,,2,2,,
