region,year,category,subcategory,scenario,annual_consumption
NEM,2010,AuxiliaryLoads,,Actual,12518.552
NEM,2010,Losses,Distribution losses,Actual,8275.149
NEM,2010,Losses,Transmission losses,Actual,4895.5527
NEM,2010,Native,Native,Actual,199811.72
NEM,2010,Operational,,Actual,196273.55
NEM,2010,OperationalGen,,Actual,208792.11
NEM,2010,SmallNonScheduledGeneration,ONSG generation,Actual,3533.7673
NEM,2010,SmallNonScheduledGeneration,PVNSG generation,Actual,4.403053
NSW,2010,AuxiliaryLoads,,Actual,3554.719
NSW,2010,Losses,Distribution losses,Actual,3129.4463
NSW,2010,Losses,Transmission losses,Actual,1757.5774
NSW,2010,Native,Native,Actual,76154.9
NSW,2010,Operational,,Actual,74779
NSW,2010,OperationalGen,,Actual,78333.72
NSW,2010,SmallNonScheduledGeneration,ONSG generation,Actual,1375.034
NSW,2010,SmallNonScheduledGeneration,PVNSG generation,Actual,0.87035674
QLD,2010,AuxiliaryLoads,,Actual,3821.8489
QLD,2010,Losses,Distribution losses,Actual,1930.652
QLD,2010,Losses,Transmission losses,Actual,1402.7007
QLD,2010,Native,Native,Actual,50625.746
QLD,2010,Operational,,Actual,49362.504
QLD,2010,OperationalGen,,Actual,53184.355
QLD,2010,SmallNonScheduledGeneration,ONSG generation,Actual,1263.24
QLD,2010,SmallNonScheduledGeneration,PVNSG generation,Actual,0
SA,2010,AuxiliaryLoads,,Actual,581.8218
SA,2010,Losses,Distribution losses,Actual,720.407
SA,2010,Losses,Transmission losses,Actual,303.2085
SA,2010,Native,Native,Actual,13902.683
SA,2010,Operational,,Actual,13813.6
SA,2010,OperationalGen,,Actual,14395.421
SA,2010,SmallNonScheduledGeneration,ONSG generation,Actual,86.65194
SA,2010,SmallNonScheduledGeneration,PVNSG generation,Actual,2.4317582
TAS,2010,AuxiliaryLoads,,Actual,114.65864
TAS,2010,Losses,Distribution losses,Actual,173.77448
TAS,2010,Losses,Transmission losses,Actual,295.5631
TAS,2010,Native,Native,Actual,10795.145
TAS,2010,Operational,,Actual,10364.744
TAS,2010,OperationalGen,,Actual,10479.402
TAS,2010,SmallNonScheduledGeneration,ONSG generation,Actual,430.40042
TAS,2010,SmallNonScheduledGeneration,PVNSG generation,Actual,0
VIC,2010,AuxiliaryLoads,,Actual,4445.503
VIC,2010,Losses,Distribution losses,Actual,2320.8696
VIC,2010,Losses,Transmission losses,Actual,1136.5029
VIC,2010,Native,Native,Actual,48333.25
VIC,2010,Operational,,Actual,47953.707
VIC,2010,OperationalGen,,Actual,52399.21
VIC,2010,SmallNonScheduledGeneration,ONSG generation,Actual,378.44092
VIC,2010,SmallNonScheduledGeneration,PVNSG generation,Actual,1.1009377
NEM,2011,AuxiliaryLoads,,Actual,12161.65
NEM,2011,Losses,Distribution losses,Actual,7798.8706
NEM,2011,Losses,Transmission losses,Actual,4777.215
NEM,2011,Native,Native,Actual,198101.94
NEM,2011,Operational,,Actual,194381.45
NEM,2011,OperationalGen,,Actual,206543.11
NEM,2011,SmallNonScheduledGeneration,ONSG generation,Actual,3715.1404
NEM,2011,SmallNonScheduledGeneration,PVNSG generation,Actual,5.3401065
NSW,2011,AuxiliaryLoads,,Actual,3385.7112
NSW,2011,Losses,Distribution losses,Actual,2949.838
NSW,2011,Losses,Transmission losses,Actual,1595.9178
NSW,2011,Native,Native,Actual,76001.16
NSW,2011,Operational,,Actual,74557.2
NSW,2011,OperationalGen,,Actual,77942.92
NSW,2011,SmallNonScheduledGeneration,ONSG generation,Actual,1443.0841
NSW,2011,SmallNonScheduledGeneration,PVNSG generation,Actual,0.86195487
QLD,2011,AuxiliaryLoads,,Actual,3617.4094
QLD,2011,Losses,Distribution losses,Actual,1841.728
QLD,2011,Losses,Transmission losses,Actual,1443.7914
QLD,2011,Native,Native,Actual,49126.01
QLD,2011,Operational,,Actual,47829.734
QLD,2011,OperationalGen,,Actual,51447.145
QLD,2011,SmallNonScheduledGeneration,ONSG generation,Actual,1296.2743
QLD,2011,SmallNonScheduledGeneration,PVNSG generation,Actual,0
SA,2011,AuxiliaryLoads,,Actual,617.3132
SA,2011,Losses,Distribution losses,Actual,710.66907
SA,2011,Losses,Transmission losses,Actual,298.36255
SA,2011,Native,Native,Actual,13964.255
SA,2011,Operational,,Actual,13877.328
SA,2011,OperationalGen,,Actual,14494.641
SA,2011,SmallNonScheduledGeneration,ONSG generation,Actual,83.880005
SA,2011,SmallNonScheduledGeneration,PVNSG generation,Actual,3.046907
TAS,2011,AuxiliaryLoads,,Actual,136.68776
TAS,2011,Losses,Distribution losses,Actual,222.08508
TAS,2011,Losses,Transmission losses,Actual,275.19046
TAS,2011,Native,Native,Actual,10906.153
TAS,2011,Operational,,Actual,10414.225
TAS,2011,OperationalGen,,Actual,10550.912
TAS,2011,SmallNonScheduledGeneration,ONSG generation,Actual,491.92816
TAS,2011,SmallNonScheduledGeneration,PVNSG generation,Actual,0
VIC,2011,AuxiliaryLoads,,Actual,4404.5283
VIC,2011,Losses,Distribution losses,Actual,2074.5503
VIC,2011,Losses,Transmission losses,Actual,1163.9524
VIC,2011,Native,Native,Actual,48104.37
VIC,2011,Operational,,Actual,47702.965
VIC,2011,OperationalGen,,Actual,52107.492
VIC,2011,SmallNonScheduledGeneration,ONSG generation,Actual,399.9739
VIC,2011,SmallNonScheduledGeneration,PVNSG generation,Actual,1.4312446
NEM,2012,AuxiliaryLoads,,Actual,12069.333
NEM,2012,Losses,Distribution losses,Actual,7444.344
NEM,2012,Losses,Transmission losses,Actual,5182.559
NEM,2012,Native,Native,Actual,194340.52
NEM,2012,Operational,,Actual,190338.97
NEM,2012,OperationalGen,,Actual,202408.3
NEM,2012,SmallNonScheduledGeneration,ONSG generation,Actual,3993.914
NEM,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,7.645487
NSW,2012,AuxiliaryLoads,,Actual,3340.4453
NSW,2012,Losses,Distribution losses,Actual,2791.509
NSW,2012,Losses,Transmission losses,Actual,1986.0149
NSW,2012,Native,Native,Actual,73338.03
NSW,2012,Operational,,Actual,71927.1
NSW,2012,OperationalGen,,Actual,75267.55
NSW,2012,SmallNonScheduledGeneration,ONSG generation,Actual,1409.8074
NSW,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,1.1176429
QLD,2012,AuxiliaryLoads,,Actual,3588.5347
QLD,2012,Losses,Distribution losses,Actual,1805.7352
QLD,2012,Losses,Transmission losses,Actual,1439.052
QLD,2012,Native,Native,Actual,48919.902
QLD,2012,Operational,,Actual,47587.66
QLD,2012,OperationalGen,,Actual,51176.195
QLD,2012,SmallNonScheduledGeneration,ONSG generation,Actual,1330.3538
QLD,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,1.8858654
SA,2012,AuxiliaryLoads,,Actual,509.67435
SA,2012,Losses,Distribution losses,Actual,662.71436
SA,2012,Losses,Transmission losses,Actual,292.30353
SA,2012,Native,Native,Actual,13622.271
SA,2012,Operational,,Actual,13538.839
