id,casestudy_area,casestudy_area_code,date,organisation_tariff_name,First_20_units(d/unit),After_20_units(d/unit),Light_(flat_d/unit),Power_(flat)_(d/unit),Light_max_demand_(d/unit),Power_max_demand_(d/unit),LightFirst1000Units_(d/unit),LightSecond1000Units_per_month_(d/unit),LightThird1000Units_per_month_(d/unit),LigthOver3000Units_per_month_(d/unit),PowerAndHeat_(d/unit),PowerAndHeat75hoursPeak_(d/unit),PoweAndHeatOver75peak_(d/unit),Charge_per_room_per_month,"Residential_3_rooms_or_less_""GB""/""GD""/""GR""_First_X_units_per_qu","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Next_X_units_per_qua","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Balance_units_per_qu",First_1200_kwhquarter_Tariff_J_(c/kWh),Balance_kWh_per_quarter_Tariff_J_(c/kWh),"I_J_/""GD""/""GR""_Minimum_charge__($/per_quarter)_1982",YandJ_Water_and_space_heating_1984,Energy_charge_per_unit_(d_or_c_/_kwh),Standing_charge_($/year),TUoS Block_1_(c/kWh),TUoS Block_2_(c/kWh),TUoS Summer_peak_(c/kWh),TUoS Summer_shoulder_(c/kWh) ,TUoS Winter_peak_(c/kWh),TUoS Average_(c/kWh),Network_charges Block_1/peak_(c/kWh),Extras_(summer_export),Premium_FiT,average_dckwh
1,Metro,M,1895-01-01,PRE1896ACT,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2,Metro,M,1896-01-01,PRE1896ACT,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
3,Metro,M,1897-01-01,A.U. Alcock Electric Light and Motive Power Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
4,Metro,M,1897-01-01,New Australian Electric Co. Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
5,Melbourne,M,1897-01-01,Corporation of the City of Melbourne,7.8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
6,Ballarat,NM,1897-01-01,Ballarat Electric Supply Co. Limited,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
7,Melbourne,M,1897-01-01,"Thos. T. Draper and Co., Melbourne",9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
8,Bendigo,NM,1897-01-01,Bendigo Electric Co.,2.4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
9,Metro,M,1898-01-01,A.U. Alcock Electric Light and Motive Power Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
10,Metro,M,1898-01-01,New Australian Electric Co. Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
11,Melbourne,M,1898-01-01,Corporation of the City of Melbourne,7.8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
