Year, mar , jun , sep , dec , ann  (ave quarters) 
2019, 0.01 , 0.02 , 0.02 , 0.02 , 0.0160 
2018, 0.02 , 0.02 , 0.02 , 0.02 , 0.0193 
2017, 0.02 , 0.02 , 0.02 , 0.02 , 0.0193 
2016, 0.01 , 0.01 , 0.01 , 0.02 , 0.0128 
2015, 0.01 , 0.02 , 0.02 , 0.02 , 0.0150 
2014, 0.03 , 0.03 , 0.02 , 0.02 , 0.0248 
2013, 0.03 , 0.02 , 0.02 , 0.03 , 0.0245 
2012, 0.02 , 0.01 , 0.02 , 0.02 , 0.0175 
2011, 0.03 , 0.04 , 0.03 , 0.03 , 0.0330 
2010, 0.03 , 0.03 , 0.03 , 0.03 , 0.0293 
2009, 0.02 , 0.01 , 0.01 , 0.02 , 0.0178 
2008, 0.04 , 0.04 , 0.05 , 0.04 , 0.0435 
2007, 0.03 , 0.02 , 0.02 , 0.03 , 0.0233 
2006, 0.03 , 0.04 , 0.04 , 0.03 , 0.0355 
2005, 0.02 , 0.03 , 0.03 , 0.03 , 0.0270 
2004, 0.02 , 0.03 , 0.02 , 0.03 , 0.0233 
2003, 0.03 , 0.03 , 0.03 , 0.02 , 0.0273 
2002, 0.03 , 0.03 , 0.03 , 0.03 , 0.0298 
2001, 0.06 , 0.06 , 0.03 , 0.03 , 0.0443 
2000, 0.03 , 0.03 , 0.06 , 0.06 , 0.0445 
1999, 0.01 , 0.01 , 0.02 , 0.02 , 0.0148 
1998,-0.00 , 0.01 , 0.01 , 0.02 , 0.0088 
1997, 0.01 , 0.00 ,-0.00 ,-0.00 , 0.0025 
1996, 0.04 , 0.03 , 0.02 , 0.02 , 0.0263 
1995, 0.04 , 0.05 , 0.05 , 0.05 , 0.0460 
1994, 0.02 , 0.02 , 0.02 , 0.03 , 0.0198 
1993, 0.01 , 0.02 , 0.02 , 0.02 , 0.0175 
1992, 0.02 , 0.01 , 0.01 , 0.00 , 0.0100 
1991, 0.05 , 0.03 , 0.03 , 0.02 , 0.0318 
1990, 0.09 , 0.08 , 0.06 , 0.07 , 0.0735 
