Id,Name,Registration date,Change Date
1,Victorian Electric Light Co.,1880-01-01,1881-02-01
2,"Australian Electric Light, Power and Storage Co.",1880-02-01,1881-03-01
3,Australian Electric Light Co Ltd.,1881-01-01,1883-05-01
4,(New) Australasian Electric Co. Ltd.,1883-05-01,1889-05-01
5,A.U. Alcock Electric Light and Motive Power Ltd.,1886-06-01,1901-01-14
6,Essendon Land Tramway Co. Ltd.,1887-06-01,1921-06-06
7,Southern Electric Co.,1887-03-01,1889-02-01
8,Electric Light and Power Supply Co. Ltd.,1887-02-01,1889-02-01
9,Fry Bros Flour Mill,1889-03-08,1898-10-10
10,New Australian Electric Co. Ltd.,1889-01-01,1901-01-14
11,Australasian Electric Tramways Co. Ltd.,1890-01-01,1893-02-01
12,British Insulated Wire Co. Ltd. (England),1890-01-01,1901-02-19
13,Union Electric Co. of Australia Ltd.,1890-01-01,1897-02-01
14,"Thos. T. Draper and Co., Melbourne",1891-01-01,1900-11-13
15,Bendigo Electric Co.,1892-04-01,1900-11-13
16,Daylesford Electric Light and Power Supply Co. Ltd,1893-01-01,1900-11-13
17,Corporation of the City of Melbourne,1894-01-01,1994-09-01
18,Ballarat Electric Supply Co. Limited,1894-03-01,1899-03-10
19,British Insulated Wire Co. Ltd. (Victoria),1897-04-28,1904-01-01
20,Brush Electric Eng. Co. Ltd.,1898-11-01,1900-01-01
21,"James Colin Lockley, Nhill area",1898-10-10,1901-01-01
22,City of Hawthorn,1898-06-27,1911-06-22
23,Electric Lighting and Traction Company of Australia Limited,1899-12-01,1908-09-04
24,Deep Leads Electric Transmission Company Limited,1899-10-30,1909-07-01
25,Messrs. F.J. Leary and A. Dawson,1899-02-20,1900-02-08
26,Electric Supply Company of Victoria Limited(registered in UK),1900-05-26,1934-06-02
27,Nhill Electric Lighting Co. Pty. Ltd.,1900-01-01,1921-03-01
28,"Victoria Electric Light, Heat, and Power Distributing Corporation limited",1901-01-01,1908-11-19
29,Melbourne Electric Supply Co. Ltd.,1904-09-04,1930-08-04
30,Inglewood Borough Council,1904-06-29,1946-04-29
